Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Chin-hui Tsao","COL",0.65686275,92.81034483,0.12745098,86.09090909,,,,,0.18627451,84.125,0.02941176,86,,,0.24444444,"Chin-hui Tsao",1776,425835
"Chad Qualls","HOU",0.63224181,91.43010753,0.30478589,84.59036145,0.00251889,90,0.00755668,85,0.05289673,82.375,,,,,0.23062016,"Chad Qualls",2170,430589
"Ben Hendrickson","MIL",0.67628205,87.77399381,0.01282051,79.5,,,0.18910256,76.83908046,0.12179487,79.546875,,,,,0.23057953,"Ben Hendrickson",2175,430608
"Brandon Puffer","SDP",0.61302682,89.16964286,0.23754789,77,,,0.00383142,73,0.14559387,76,,,,,0.22740525,"Brandon Puffer",572,407836
"Sun-Woo Kim","MON",0.61258482,90.17546848,0.21961752,82.82488479,,,0.10363973,76.19767442,0.06415793,81.67567568,,,,,0.22611164,"Sun-Woo Kim",197,279615
"Claudio Vargas","MON",0.72191864,93.28266033,0.15846995,81.66863905,,,0.0667881,80.96470588,0.047966,84.44117647,0.00485732,85.8,,,0.22508189,"Claudio Vargas",1695,282567
"Roy Halladay","TOR",0.70106986,92.19662058,,,0.02517306,90.56666667,0.21900566,76.77637131,0.03713027,83.59574468,0.01762115,85,,,0.22243902,"Roy Halladay",1303,136880
"Ryan Bukvich","KCR",0.85714286,94.56716418,0.08791209,86.125,,,,,0.01098901,86,0.04395604,87,,,0.22222222,"Ryan Bukvich",1531,424426
"Casey Daigle","ARI",0.58548387,90.1042471,0.28387097,83.43165468,,,0.03387097,79.54545455,0.09354839,81.6,0.00322581,,,,0.22194821,"Casey Daigle",1880,430664
"Jeff Bajenaru","CHW",0.56557377,90.96226415,0.13114754,82.4,,,0.1147541,77,0.18852459,78.90909091,,,,,0.22151899,"Jeff Bajenaru",2920,434117
"Aaron Cook","COL",0.79582971,90.50079745,0.10165074,82.65671642,,,0.02172024,79.05555556,0.0807993,82.31343284,,,,,0.2201897,"Aaron Cook",1571,346871
"Sean Douglass","TOR",0.56063269,90.39430894,0.17574692,83.03703704,,,0.10193322,76.88636364,0.16168717,82.4,,,,,0.21703297,"Sean Douglass",133,346868
"Jimmy Serrano","KCR",0.62997658,90.12280702,0.09133489,82.15384615,,,0.14519906,82.01785714,0.1264637,83.47222222,0.00702576,85.33333333,,,0.21651376,"Jimmy Serrano",2491,408250
"Seth Greisinger","MIN",0.5975976,87.24269006,0.08708709,82.8490566,0.00750751,84.4,0.10810811,73.96610169,0.1996997,77.05607477,,,,,0.2161215,"Seth Greisinger",467,133960
"Michael Gonzalez","PIT",0.67938931,93.21632653,0.28053435,83.3963964,,,,,0.04007634,81.35,,,,,0.2143928,"Michael Gonzalez",1794,283166
"Nelson Figueroa","PIT",0.61261261,87.21111111,0.17417417,80.35849057,,,0.12312312,73.79411765,0.09009009,80.86956522,,,,,0.21411765,"Nelson Figueroa",683,150153
