Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Randy Johnson","ARI",16,14,0,35,35,245.2,10.624152407358753,1.6119403652544315,0.6594301494222674,0.26411960132890366,0.69484937,0.431404958,0.080357142,,2.6010855893878326,,2.300286998169799,2.677075324892888,9.606083869934082,"Randy Johnson",60,116615
"Ben Sheets","MIL",12,14,0,34,34,237,10.025316455696203,1.2151898734177216,0.9493670886075949,0.2875816993464052,0.75247525,0.426282051,0.106837606,,2.6962025316455698,,2.6484255082496615,2.7165398251029513,7.97304630279541,"Ben Sheets",710,282656
"Johan Santana","MIN",20,6,0,34,34,228,10.460527015855154,2.1315790900233145,0.9473684844548065,0.2495274102079395,0.80366775,0.405904059,0.10619469,,2.605263332250718,,2.922076399137732,2.9987434277971987,6.792599201202393,"Johan Santana",755,276371
"Roy Oswalt","HOU",20,10,0,36,35,237,7.8227843064716645,2.3544302281613745,0.6455695786894091,0.314410480349345,0.72997874,0.421669106,0.073593073,,3.493670661142685,,3.167412842415375,3.6558915607360163,6.551631711423397,"Roy Oswalt",571,400061
"Curt Schilling","BOS",21,6,0,32,32,226.2,8.060294479383334,1.3897059447212643,0.9132353351025452,0.2841614906832298,0.75771749,0.404833836,0.092,,3.255882499061248,,3.1066223338566026,3.395456684555893,6.538819313049316,"Curt Schilling",73,121811
"Jason Schmidt","SFG",18,7,0,32,32,225,10.04,3.08,0.72,0.26344086021505375,0.73248408,0.446017699,0.084112149,,3.2,,2.924824945661757,3.2714274513059194,6.401210784912109,"Jason Schmidt",1131,121834
"Roger Clemens","HOU",18,4,0,33,33,214.1,9.15396535092247,3.317262673040711,0.6298600012102616,0.275,0.7639485,0.486583184,0.083333333,,2.9813373390619047,,3.1145882050465246,3.4291345225530923,5.747557163238525,"Roger Clemens",815,112388
"Brad Radke","MIN",11,8,0,34,34,219.2,5.858876543858202,1.0652502807014912,0.942336786774396,0.2930298719772404,0.73863636,0.42977528,0.086142322,,3.4825489946010286,,3.5454757174415112,3.9563391838464037,4.98486328125,"Brad Radke",748,120878
"Pedro Martínez","BOS",16,9,0,33,33,217,9.414746543778802,2.5299539170506913,1.0783410138248848,0.2914485165794066,0.73202055,0.382154882,0.103585657,,3.8986175115207375,,3.579223307156893,3.7079191275249985,4.870511531829834,"Pedro Martinez",200,118377
"Freddy Garcia","- - -",13,11,0,31,31,210,7.885714285714286,2.742857142857143,0.9428571428571428,0.28286189683860236,0.73643411,0.434494195,0.096069868,,3.8142857142857145,,3.673078913915725,3.9009537270736128,4.818286895751953,"Freddy Garcia",1077,150119
"Carlos Zambrano","CHC",16,8,0,31,31,209.2,8.069952109479019,3.476947451424471,0.6009538804931185,0.273972602739726,0.79091621,0.506872852,0.08,,2.747217739397113,,3.569142191485169,3.9179261969552375,4.69158411026001,"Carlos Zambrano",305,407296
"Tim Hudson","OAK",12,6,0,27,27,188.2,4.9134278267595715,2.0989400424992346,0.3816254622725881,0.2971246006389776,0.70351759,0.588141025,0.056338028,,3.53003552602144,,3.3990927305227405,3.9451269907190074,4.614821434020996,"Tim Hudson",921,218596
"Oliver Pérez","PIT",12,10,0,30,30,196,10.974489795918368,3.7193877551020407,1.010204081632653,0.2709251101321586,0.80313418,0.354978354,0.099099099,,2.9846938775510203,,3.447228573779671,3.6393131426554555,4.542194843292236,"Oliver Perez",1514,424144
"Mark Buehrle","CHW",16,10,0,35,35,245.1,6.052988879453042,1.870923835467304,1.2105977758906084,0.2951251646903821,0.7301705,0.487804878,0.13692946,,3.8885867952849846,,4.17426934345909,3.857753983041263,4.52623987197876,"Mark Buehrle",225,279824
"Carl Pavano","FLA",18,8,0,31,31,222.1,5.626686399231121,1.98350815512464,0.6476761322855967,0.2824207492795389,0.76923077,0.476190476,0.072727272,,2.995502111820885,,3.544021991157699,4.051066147421437,4.4997029304504395,"Carl Pavano",790,134321
