Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jared Fernandez","HOU",0.6666666666666666,1.5,0.444444444,0.333333333,0.222222222,0,0,4,36.00003755096538,28,24,52,0.11111111,0.33333333,0.55555556,0,0.33333333,0.66666667,"Jared Fernandez",324,220594
"Kevin Walker","SFG",0.4,0.666666666,0.166666666,0.333333333,0.5,0,0.333333333,4,21.600008239749236,26,27,53,0.5,0.16666667,0.33333333,0,0.33333333,0.66666667,"Kevin Walker",1060,276526
"Sam Marsonek","NYY",0.3333333333333333,0.333333333,0.333333333,0.166666666,0.5,0,0,1,6.750016696792419,10,13,23,0.16666667,0.83333333,0,0.16666667,0.16666667,0.66666667,"Sam Marsonek",2144,430564
"Mickey Callaway","TEX",0.41025641025641024,0.75,0.31707317,0.292682926,0.390243902,0.1875,0.125,7,5.55882508862021,103,147,250,0.43902439,0.41463415,0.14634146,0.17073171,0.24390244,0.58536585,"Mickey Callaway",7,209068
"Merkin Valdez","SFG",0.5,0,0.428571428,0,0.571428571,0,0.25,2,10.800023431828793,24,33,57,0.14285714,0.28571429,0.57142857,0.14285714,0.28571429,0.57142857,"Merkin Valdez",7019,429723
"Dave Maurer","TOR",0.625,1,0.555555555,0.222222222,0.222222222,0.5,0.5,3,20.250004827977378,33,21,54,0.55555556,0.33333333,0.11111111,0.11111111,0.33333333,0.55555556,"Dave Maurer",394,276531
"Joe Beimel","MIN",0.7,1,0.09090909,0.454545454,0.454545454,0,0.2,0,0,21,26,47,0.36363636,0.36363636,0.27272727,0,0.45454545,0.54545455,"Joe Beimel",979,346847
"Jason Young","COL",0.4,1.8,0.125,0.5625,0.3125,0.1,0.3,9,9.720003707887157,72,101,173,0.45454545,0.18181818,0.36363636,0,0.45454545,0.54545455,"Jason Young",1707,408221
"Leo Estrella","SFG",0.6666666666666666,1.333333333,0.416666666,0.333333333,0.25,0.333333333,0,0,0,9,25,34,0.41666667,0.33333333,0.25,0.25,0.25,0.5,"Leo Estrella",277,150471
"Andy Pratt","CHC",0,2,0.25,0.5,0.25,0,0,1,5.400002059937309,33,14,47,0.75,0.25,0,0,0.5,0.5,"Andy Pratt",1640,407892
