Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Mike Mussina","NYY",2.177802801132202,0.5875622034072876,1.0711897611618042,4.278965950012207,-7.607813835144043,1.7286174297332764,0.5407946705818176,0.17161566596786462,0.27456177729312503,11.90210845735338,0.606085828613627,-4.501664991209493,0.8473614851633707,4.50662225484848,"Mike Mussina",837,119608
"Tim Wakefield","BOS",-2.1354804635047913,,,-3.3891069889068604,0.4180828332901001,,-9.985133528709412,-0.8507890292847774,,,-1.339567979805083,41.80828332901001,,-0.44084474740438906,"Tim Wakefield",219,123801
"Steve Sparks","ARI",-0.49504679441452026,,,1.388613760471344,0.14272326231002808,,-16.06622076034546,-0.15866884436362827,,,4.33941800147295,0.29734012981255853,,-1.0966703590679494,"Steve Sparks",499,122562
"Todd Zeile","NYM",-0.16915401816368103,,,-0.7739778757095337,,,-1.3986746072769165,-2.819233636061351,,,-25.799262523651123,,,-6.357611851258711,"Todd Zeile",457,124755
"Jared Fernandez","HOU",-0.15226305276155472,,,,,,-3.9854812622070312,-2.1751864680222104,,,,,,-8.856625027126736,"Jared Fernandez",324,220594
"Kevin Appier","KCR",-1.5137884616851807,-0.2064913511276245,,0.26536664366722107,-1.1536378860473633,0.12197043001651764,,-3.3639743593004012,-1.5883950086740348,,2.6536664366722107,-11.536378860473633,1.5246303752064705,,"Kevin Appier",3,110293
"Mickey Callaway","TEX",-5.545105993747711,0.8550110459327698,0.38733604550361633,-1.027797520160675,-0.21361547708511353,0.10118559002876282,,-4.200837874051296,6.107221756662641,4.3037338389290705,-1.9033287410382873,-0.5773391272570636,5.059279501438141,,"Mickey Callaway",7,209068
"Al Levine","DET",-6.346766948699951,2.1638848781585693,,,-1.1308127641677856,-2.0477771759033203,,-1.1666851008639616,0.9574711850259157,,,-1.4685880054127087,-8.532404899597168,,"Al Levine",20,117722
"Ramon Ortiz","ANA",-10.373851001262665,7.910328149795532,-0.09878591448068619,-0.6411893963813782,-4.317647457122803,-0.5694822669029236,,-0.9278936494868215,2.240886161415165,-9.878591448068619,-32.05946981906891,-1.463609307499255,-7.118528336286545,,"Ramon Ortiz",27,150009
"Troy Percival","ANA",7.273797988891602,,,-3.301661729812622,2.7468271255493164,,,1.1004232963527385,,,-2.8219331024039502,5.844313033083652,,,"Troy Percival",29,120401
"Lou Pote","CLE",-0.3254396319389343,,,1.3274309635162354,-0.5181361436843872,,,-0.9571753880556891,,,7.374616463979085,-7.40194490977696,,,"Lou Pote",30,150010
"Scott Schoeneweis","CHW",-8.767967104911804,2.4972358494997025,0.6929026246070862,0.27395176887512207,-8.418922245502472,,,-0.6796873724737832,0.7217444651733244,0.9759191895874453,27.395176887512207,-4.407812693980351,,,"Scott Schoeneweis",33,150011
"Aaron Sele","ANA",-13.032751560211182,3.2149924635887146,0.002160117030143738,-3.6388964653015137,-1.5398435592651367,,,-1.0630303067056428,2.399248107155757,0.006353285382775699,-0.604467851378989,-0.9389289995519126,,,"Aaron Sele",34,121986
"Scot Shields","ANA",12.385634422302246,5.744787693023682,,-1.949245810508728,-1.0517736673355103,,,1.0779490358835722,2.066470393173986,,-1.9110253044203214,-0.9307731569340798,,,"Scot Shields",35,276912
"Jarrod Washburn","ANA",-8.819774627685547,-0.012979108840227127,,0.7623373866081238,0.5076888203620911,-0.6954959034919739,,-0.6036806726684153,-0.0032447772100567818,,2.459152860026206,0.16755406612610269,-13.909918069839478,,"Jarrod Washburn",40,132220
"Ben Weber","ANA",-7.929106712341309,-1.5783629417419434,,,-2.5870308876037598,,,-2.6168669017628083,-1.9729536771774292,,,-3.9197437690966055,,,"Ben Weber",41,276533
"Matt Wise","MIL",0.12697339057922363,-0.23780052363872528,,0.17962396144866943,7.6252042055130005,-0.022751063108444214,,0.046172142028808594,-0.9512020945549012,,0.5443150346929376,2.602458773212628,-2.2751063108444214,,"Matt Wise",42,277184
"Brian Anderson","KCR",-20.77701997756958,-4.681087240576744,,-0.6098323240876198,-3.4626192450523376,0.06487300992012024,,-1.2478690677218967,-1.2416677030707544,,-0.6159922465531512,-0.9565246533293751,6.487300992012024,,"Brian Anderson",44,110230
"Miguel Batista","TOR",-7.580846786499023,3.058593213558197,-3.39350625872612,-1.0739129036664963,-3.546754028648138,-0.4837840497493744,,-0.4420318825946953,0.5859373972333711,-0.760875842763704,-0.6101777861741456,-1.7822884566071044,-0.7011363039846006,,"Miguel Batista",46,110683
"Randy Johnson","ARI",11.036174774169922,33.541778564453125,,,5.593785285949707,0.3342974781990051,,0.7446811588508719,2.3488640451297704,,,2.55423985659804,0.22897087547877065,,"Randy Johnson",60,116615
"Byung-Hyun Kim","BOS",-0.6093122959136963,-0.20814698934555054,,,-1.6633886694908142,,,-0.3522036392564718,-0.2634772017032285,,,-5.198089592158794,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","ARI",10.044160842895508,2.0213985443115234,,0.1373692750930786,0.5164976119995117,,,1.2339263934761067,1.247776879204644,,1.7171159386634827,0.2776868881717805,,,"Mike Koplove",63,407377
"Matt Mantei","ARI",-4.904669284820557,-1.4588103294372559,,0.04883425310254097,,,,-4.19202502976116,-11.221617918748123,,0.23254406239305225,,,,"Matt Mantei",64,118256
"Mike Myers","- - -",-3.8261107355356216,3.05138099193573,0.3113928437232971,-2.034450948238373,0.27829618752002716,,,-0.7372082342072489,1.9071131199598312,10.379761457443237,-18.495008620348845,1.2099834240001182,,,"Mike Myers",68,119624
"Eddie Oropesa","SDP",-2.4319727420806885,1.0624058246612549,,1.5344877243041992,-0.07512158155441284,,,-2.294313907623291,1.8317341804504395,,4.949960400981287,-2.5040527184804278,,,"Eddie Oropesa",69,400280
"Jose Parra","NYM",-1.0953257083892822,0.9993185997009277,1.0180054903030396,,0.13850384950637817,,,-0.7253812638339617,1.8855067918885429,11.311172114478216,,0.9233589967091878,,,"Jose Parra",70,120244
"John Patterson","MON",-8.484471321105957,3.1741230487823486,-0.20588946342468262,-2.9177052974700928,-1.3695091009140015,,,-0.742948451935723,0.8768295714868366,-5.147236585617065,-3.24189477496677,-1.690751976437039,,,"John Patterson",71,279568
"Curt Schilling","BOS",24.87929916381836,5.156936168670654,0.5962727069854736,-1.7924748659133911,3.7134950160980225,6.02228307723999,,1.3012185755135126,2.1759224340382506,2.3850908279418945,-0.6974610373203857,1.6652444018376782,0.9528928919683528,,"Curt Schilling",73,121811
"Jung Keun Bong","CIN",0.05617415904998779,-0.2861880362033844,,-1.7982416152954102,-1.6789950132369995,,,0.030529434266297714,-4.76980060338974,,-3.154809851395456,-3.9976071743738086,,,"Jung Keun Bong",82,407794
"John Ennis","DET",-3.109102249145508,-0.009254693984985352,,1.3528006076812744,-0.1810210645198822,,,-1.7868403730721307,-0.15424489974975586,,2.3324148408297836,-0.8620050691422961,,,"John Ennis",85,407795
"Tom Glavine","NYM",6.229191303253174,0.9160844087600708,-0.07849974930286407,-1.5282306671142578,4.3728227615356445,,,0.40847156086906056,0.3003555438557609,-3.9249874651432037,-2.0376408894856772,0.3445880820753069,,,"Tom Glavine",90,114849
"Kevin Gryboski","ATL",7.272484302520752,-1.4624574184417725,,0.2585601210594177,0.07310803234577179,,,1.0072692939779435,-5.2230622087206156,,12.928006052970886,0.33230923793532635,,,"Kevin Gryboski",91,407839
"Chris Hammond","OAK",-0.5821025967597961,0.602523148059845,,0.37203019857406616,2.893949270248413,,,-0.15948016349583455,0.9414424188435078,,0.38353628718975896,1.2367304573711166,,,"Chris Hammond",92,115391
"Kerry Ligtenberg","TOR",-6.257636547088623,0.9466080665588379,,-0.6451335549354553,-1.0189555883407593,-0.8444550037384033,,-1.1784626265703622,0.3558676941950518,,-10.752225915590923,-0.9797649887891916,-4.444500019675806,,"Kerry Ligtenberg",100,117763
"Greg Maddux","CHC",-0.662843644618988,-0.6280657052993774,-3.114877462387085,-0.3650679886341095,18.2413272857666,,,-0.03816025587904364,-0.27914031346639,-6.921949916415744,-0.5704187322407961,2.583757405915949,,,"Greg Maddux",104,118120
"Jason Marquis","STL",-3.215087652206421,6.982245445251465,0.16305610537528992,-3.420219659805298,-4.323279857635498,,,-0.13870093409000953,1.8669105468586804,5.4352035125096645,-1.2437162399291992,-1.831898244760804,,,"Jason Marquis",105,150302
"Kevin Millwood","PHI",-4.4667158126831055,4.481716632843018,,0.8655658960342407,-3.9083378314971924,,,-0.29483272690977597,0.9915302285050924,,0.3069382610050499,-5.281537610131341,,,"Kevin Millwood",106,119154
"Damian Moss","TBD",-1.331414669752121,-0.282620370388031,,0.3618960864841938,-2.770247220993042,,,-1.3725924430434238,-1.2846380472183228,,3.0158007207016153,-9.552576624113938,,,"Damian Moss",107,150305
"Joe Nelson","BOS",-0.14933383464813232,,,-1.1057382822036743,-0.36683928966522217,,,-0.3472879875537961,,,-11.057382822036743,-1.410920344866239,,,"Joe Nelson",108,406874
"Horacio Ramirez","ATL",4.155508756637573,-1.8918053954839706,,-0.14894482493400574,1.0943744778633118,0.22190052270889282,,0.8245057056820582,-1.1973451870151712,,-1.3540438630364158,0.8825600627929933,22.190052270889282,,"Horacio Ramirez",110,400141
"Mike Remlinger","CHC",2.248894453048706,0.7262874245643616,,-0.757487416267395,1.923219919204712,,,0.5580383258185374,1.7292557727722895,,-2.0472632872091756,1.7326305578420829,,,"Mike Remlinger",111,121060
"John Smoltz","ATL",7.82886266708374,5.669534206390381,,0.15611737966537476,1.0026023387908936,3.199086904525757,,1.099559363354458,2.7791834345050885,,5.203912655512491,7.712325683006874,1.950662746662047,,"John Smoltz",115,122477
"Dan Wheeler","- - -",4.383140444755554,0.15054327249526978,,-3.5408509373664856,-3.207779861986637,-0.4848399758338928,,0.7354262491200594,0.0880370014592221,,-2.855524949489101,-3.1448822176339575,-3.2322665055592856,,"Dan Wheeler",120,235095
"Rick Bauer","BAL",4.684610694646835,0.43804270029067993,,0.10973820835351944,1.201817512512207,-0.6639404296875,,0.7163013294567027,0.3174222465874492,,3.657940278450648,1.5022718906402588,-22.13134765625,,"Rick Bauer",125,407400
"Erik Bedard","BAL",2.0004419684410095,0.6154758334159851,0.9631674289703369,-3.7857692539691925,-8.63020408153534,,,0.11232127840769283,1.3379909422086633,7.408980222848746,-0.7142960856545646,-4.690328305182249,,,"Erik Bedard",126,407853
"Sean Douglass","TOR",-2.1694633960723877,1.6896825432777405,,0.26602010428905487,-1.408989131450653,,,-0.680082569301689,1.6896825432777405,,0.45865535222250836,-1.5315099254898403,,,"Sean Douglass",133,346868
"Travis Driskill","COL",-2.027533531188965,0.03443208336830139,,-0.17517638206481934,0.5548064708709717,1.2060606479644775,,-2.667807277880217,0.26486217975616455,,-0.7616364437600841,2.641935575576056,6.700336933135986,,"Travis Driskill",134,150344
"Scott Erickson","- - -",-4.675520300865173,-1.4544369354844093,,-2.9933276176452637,1.074093997478485,,,-1.3474121904510588,-3.094546671243424,,-5.986655235290527,1.5795499962918897,,,"Scott Erickson",137,113884
"Buddy Groom","BAL",-7.04120397567749,2.7505455017089844,,,0.5610096454620361,,,-1.5077524573185204,1.463056117930311,,,0.4836290047086519,,,"Buddy Groom",143,115183
"Pat Hentgen","TOR",-4.278819978237152,-1.2921037673950195,-0.5092347860336304,0.8726724237203598,-1.6931660175323486,,,-0.5992745067559037,-1.7228050231933592,-3.18271741271019,0.5015358757013563,-0.9252273319848899,,,"Pat Hentgen",145,115797
"Jason Johnson","DET",-1.6198543310165405,0.9040971994400024,,5.749355792999268,1.1864008903503418,,,-0.11019417217799596,1.20546293258667,,0.8606820049400101,0.41628101415801466,,,"Jason Johnson",147,116595
"Jorge Julio","BAL",4.960933685302734,0.601942241191864,,0.16639472544193268,-0.2589581310749054,-0.09490509331226349,,0.6271724001646946,0.24370131222342675,,1.1092981696128845,-0.6998868407429876,-9.490509331226349,,"Jorge Julio",148,406402
"Rodrigo Lopez","BAL",14.320040225982666,-1.09014892578125,0.8844830393791199,0.4084714949131012,1.6896699666976929,,,0.8705191626737182,-0.2620550302358774,3.6853459974129996,0.2618407018673725,0.4680526223539315,,,"Rodrigo Lopez",150,150438
"John Parrish","BAL",-2.1697658002376556,6.9606887102127075,-1.5424457788467407,-0.05205122381448746,0.8762032873928547,,,-0.29969140887260437,1.6977289537104165,-5.712762143876818,-5.205122381448746,1.0430991516581603,,,"John Parrish",160,332292
