Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","TOR",214.1,-3.731576919555664,,,,,,,,,-1.1237375736236572,,,11.920722007751465,"R.A. Dickey",1245,285079
"Steven Wright","BOS",72.2,2.1371865272521973,,,,,,,-5.000615686178207,,,,,1.3251419067382812,"Steven Wright",8185,453214
"Neftalí Feliz","- - -",48,-4.938105404376984,,,,,0.623088002204895,0.0021238327026367188,0.008646372705698013,,,1.0587323307991028,,,"Neftali Feliz",18,491703
"Xavier Cedeño","- - -",46,-2.5603636503219604,,,0.0372450090944767,,-0.5495541095733643,,10.820930361747742,,,0.23650363087654114,,,"Xavier Cedeno",36,458584
"Jason Marquis","CIN",47.1,,,,,,-9.581586837768555,-0.7602438926696777,,,,-2.0507657527923584,,,"Jason Marquis",105,150302
"Rafael Betancourt","COL",39.1,0.7073520421981812,,0.19009101390838623,,,,-2.7281761169433594,,,,0.01817375048995018,,,"Rafael Betancourt",177,429783
"Mark Buehrle","TOR",198.2,4.771958351135254,,-4.462666988372803,,,-7.005321979522705,,1.7043358087539673,,,3.854931354522705,,,"Mark Buehrle",225,279824
"Bartolo Colon","NYM",194.2,-6.004956096410751,,,,,11.429157078266144,-4.200422093272209,-0.07638713717460632,,,-0.6016203314065933,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",167.1,0.916022002696991,,-0.05873878672719002,,,-12.2252779006958,-5.3604302406311035,,,,2.201164960861206,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",62.2,-2.8637644946575165,,,,,-4.045123189687729,,,,,4.137306094169617,,,"Fernando Rodney",494,407845
"A.J. Burnett","PIT",164,-4.107465744018555,,,,,7.367040157318115,,,-2.9164631366729736,,0.1633121818304062,,,"A.J. Burnett",512,150359
"Jason Grilli","ATL",33.2,-0.08596334606409073,,,,,-0.3694920837879181,3.932480812072754,,,,-0.04601837694644928,,,"Jason Grilli",521,276351
"Jeremy Affeldt","SFG",35.1,,,,,,-8.247355461120605,,1.5287927389144897,,,1.315642237663269,,,"Jeremy Affeldt",583,346793
"Grant Balfour","TBR",4.1,0.670757532119751,,-0.34857475757598877,,,0.018842700868844986,-1.8604813814163208,-0.08643151819705963,,,0.43731722235679626,,,"Grant Balfour",718,346797
"LaTroy Hawkins","- - -",38.2,0.8847931623458862,,,,,0.3640882149338722,-0.9544789604842663,-0.36231572180986404,,,0.6113604456186295,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",152.1,-2.2042598128318787,,,,,-15.999378621578217,2.247715085744858,-3.5702197551727295,,,-0.30515849590301514,,,"Kyle Lohse",739,346798
