Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Anthony Ranaudo","TEX",0.24137931,0.68243243,0.46416382,0.74285714,0.93069307,0.88235294,0.50511945,0.57534247,0.05460751,0.15358362,0.20819113,"Anthony Ranaudo",11424,519168
"Erik Cordier","MIA",0.2745098,0.71171171,0.50234742,0.71428571,0.89873418,0.85046729,0.52112676,0.51785714,0.07373272,0.13364055,0.20737327,"Erik Cordier",4086,449170
"Jordan Lyles","COL",0.27610209,0.72205438,0.46981627,0.66386555,0.92050209,0.83519553,0.4343832,0.58018868,0.07692308,0.12907432,0.20599739,"Jordan Lyles",7593,543475
"Michael Mariot","KCR",0.19230769,0.66666667,0.38636364,0.8,0.91666667,0.88235294,0.40909091,0.33333333,0.04545455,0.15909091,0.20454545,"Michael Mariot",10835,592527
"Matt Stites","ARI",0.27368421,0.80519481,0.51162791,0.69230769,0.91935484,0.85227273,0.44767442,0.59090909,0.0755814,0.12790698,0.20348837,"Matt Stites",12165,592781
"André Rienzo","MIA",0.27014218,0.6971831,0.44192635,0.70175439,0.91919192,0.83974359,0.40226629,0.49438202,0.07002801,0.13165266,0.20168067,"Andre Rienzo",3507,516589
"Edgar Olmos","SEA",0.17424242,0.64761905,0.38396624,0.82608696,0.95588235,0.92307692,0.44303797,0.50746269,0.0292887,0.17154812,0.20083682,"Edgar Olmos",10174,543607
"Edgar Ibarra","LAA",0.24489796,0.64516129,0.4,0.75,1,0.90625,0.3875,0.52631579,0.0375,0.1625,0.2,"Edgar Ibarra",5195,500891
"Cesar Cabral","BAL",0.2,0.8,0.4,0,1,0.66666667,0.33333333,0.66666667,0.13333333,0.06666667,0.2,"Cesar Cabral",6741,501627
"Chris Volstad","PIT",0.33333333,0.81818182,0.6,1,0.77777778,0.83333333,0.55,0.57142857,0.1,0.1,0.2,"Chris Volstad",9901,458690
"Donn Roach","CHC",0.31578947,0.65217391,0.44262295,0.91666667,1,0.96296296,0.37704918,0.77777778,0.01639344,0.18032787,0.19672131,"Donn Roach",10620,543698
"Juan Jaime","ATL",0.05263158,0.69230769,0.3125,1,0.88888889,0.9,0.40625,0.75,0.02777778,0.16666667,0.19444444,"Juan Jaime",6127,462089
"Javy Guerra","CHW",0.36363636,0.57142857,0.44444444,0.875,1,0.9375,0.38888889,0.57142857,0.02777778,0.16666667,0.19444444,"Javy Guerra",7407,457915
"Vin Mazzaro","MIA",0.28205128,0.78481013,0.48469388,0.6969697,0.90322581,0.83157895,0.40306122,0.47272727,0.08,0.105,0.185,"Vin Mazzaro",5231,476570
"Phillippe Aumont","PHI",0.13793103,0.7173913,0.39423077,0.625,0.96969697,0.90243902,0.44230769,0.65217391,0.03846154,0.14423077,0.18269231,"Phillippe Aumont",5362,518418
"Giovanni Soto","CLE",0.30434783,0.76190476,0.52272727,0.57142857,1,0.86956522,0.47727273,0.53846154,0.06818182,0.11363636,0.18181818,"Giovanni Soto",10330,543803
"Jake Elmore","TBR",0.22222222,0.75,0.47058824,1,1,1,0.47058824,0.5,0,0.17647059,0.17647059,"Jake Elmore",7290,518653
"Chad Jenkins","TOR",0.19565217,0.70588235,0.4125,0.88888889,1,0.96969697,0.425,0.58823529,0.0125,0.1625,0.175,"Chad Jenkins",10326,554432
"Adrian Houser","MIL",0.28,0.9,0.45714286,0.85714286,0.88888889,0.875,0.28571429,0.375,0.05714286,0.11428571,0.17142857,"Adrian Houser",12718,605288
"Donnie Veal","ATL",0.20930233,0.75609756,0.47619048,0.66666667,0.90322581,0.85,0.48809524,0.5,0.07142857,0.0952381,0.16666667,"Donnie Veal",4741,453264
"Grant Balfour","TBR",0.15254237,0.8,0.37078652,0.66666667,0.91666667,0.84848485,0.33707865,0.52380952,0.05617978,0.1011236,0.15730337,"Grant Balfour",718,346797
"Dario Álvarez","NYM",0.19444444,0.82352941,0.5,0.57142857,0.96428571,0.88571429,0.48571429,0.42105263,0.05714286,0.1,0.15714286,"Dario Alvarez",14239,516714
"Jesús Sucre","SEA",0.27272727,0.8,0.57692308,1,1,1,0.57692308,0.72727273,0,0.15384615,0.15384615,"Jesus Sucre",5942,491696
"Chris Beck","CHW",0.33333333,0.81578947,0.51485149,0.95238095,0.93548387,0.94230769,0.37623762,0.51612903,0.02970297,0.11881188,0.14851485,"Chris Beck",13418,571476
"Adam Rosales","TEX",0.1875,0.73684211,0.48571429,1,0.92857143,0.94117647,0.54285714,0.5,0.02857143,0.11428571,0.14285714,"Adam Rosales",9682,489267
"Ichiro Suzuki","MIA",0.14285714,0.81818182,0.55555556,1,0.88888889,0.9,0.61111111,0.4,0.05555556,0.05555556,0.11111111,"Ichiro Suzuki",1101,400085
"Clint Robinson","WSN",0.6,1,0.77777778,0.66666667,1,0.85714286,0.44444444,0.5,0.11111111,0,0.11111111,"Clint Robinson",6908,519208
"Alexei Ramirez","CHW",0.47058824,0.90909091,0.64285714,0.875,1,0.94444444,0.39285714,0.8,0.03571429,0.07142857,0.10714286,"Alexei Ramirez",5133,493351
"Seth Rosin","PHI",0.17857143,0.875,0.5,0.8,1,0.96153846,0.46153846,0.42857143,0.01923077,0.05769231,0.07692308,"Seth Rosin",10606,519229
