Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Lloyd Merritt","STL",65.1,,,,,,,,,,,,,"Lloyd Merritt",1008792,118979
"Sam Mertes","CHW",8,,,,,,,,,,,,,"Sam Mertes",1008794,118982
"Jim Mertz","WAS",116.2,,,,,,,,,,,,,"Jim Mertz",1008795,118983
"Andy Messersmith","- - -",2230.1,,,,,,,,,,,,,"Andy Messersmith",1008799,118990
"Andrew Messenger","CLE",25,,,,,,,,,,,,,"Andrew Messenger",1008801,118988
"Tom Metcalf","NYY",13,,,,,,,,,,,,,"Tom Metcalf",1008805,118993
"Dewey Metivier","CLE",167.2,,,,,,,,,,,,,"Dewey Metivier",1008808,118996
"Butch Metzger","- - -",293.1,,,,,,,,,,,,,"Butch Metzger",1008811,119000
"Bob Meyer","- - -",129.1,,,,,,,,,,,,,"Bob Meyer",1008821,119014
"Brian Meyer","HOU",50.2,,,,,,,,,,,,,"Brian Meyer",1008822,119008
"Jack Meyer","PHI",455,,,,,,,,,,,,,"Jack Meyer",1008828,119011
"Levi Meyerle","PHN",19,,,,,,,,,,,,,"Levi Meyerle",1008830,119019
"Russ Meyer","- - -",1531.1,,,,,,,,,,,,,"Russ Meyer",1008833,119015
"Gene Michael","NYY",3,,,,,,,,,,,,,"Gene Michael",1008837,119025
"John Michaelson","CHW",2.2,,,,,,,,,,,,,"John Michaelson",1008838,119029
"John Michaels","BOS",80.2,,,,,,,,,,,,,"John Michaels",1008839,119027
"Glenn Mickens","BRO",6.1,,,,,,,,,,,,,"Glenn Mickens",1008842,119031
"Jim Middleton","- - -",157.2,,,,,,,,,,,,,"Jim Middleton",1008843,119032
"John Middleton","CLE",7.1,,,,,,,,,,,,,"John Middleton",1008844,119033
"Dick Midkiff","BOS",35.1,,,,,,,,,,,,,"Dick Midkiff",1008845,119035
"Gary Mielke","TEX",93.2,,,,,,,,,,,,,"Gary Mielke",1008847,119036
"Pete Mikkelsen","- - -",653.1,,,,,,,,,,,,,"Pete Mikkelsen",1008852,119041
"Hank Miklos","CHC",7,,,,,,,,,,,,,"Hank Miklos",1008853,119042
"Bob Milacki","- - -",795.2,,,,,,,,,,,,,"Bob Milacki",1008855,119044
"Mike Milchin","- - -",32.2,,,,,,,,,,,,,"Mike Milchin",1008859,119048
"Carl Miles","PHA",8,,,,,,,,,,,,,"Carl Miles",1008860,119049
"Jim Miles","WAS",24.2,,,,,,,,,,,,,"Jim Miles",1008863,119051
"Sam Militello","NYY",69.1,,,,,,,,,,,,,"Sam Militello",1008865,119054
"Johnny Miljus","- - -",457.1,,,,,,,,,,,,,"Johnny Miljus",1008866,119055
"Bert Miller","LOU",17,,,,,,,,,,,,,"Bert Miller",1008869,119078
"Bill Miller","SLB",4,,,,,,,,,,,,,"Bill Miller",1008872,119131
"Bill Miller","- - -",131.2,,,,,,,,,,,,,"Bill Miller",1008873,119132
"Bob Miller","- - -",134.1,,,,,,,,,,,,,"Bob Miller",1008874,119113
"Bob Miller","PHI",822,,,,,,,,,,,,,"Bob Miller",1008875,119111
"Bob Miller","- - -",188.2,,,,,,,,,,,,,"Bob Miller",1008876,119110
"Bob Miller","- - -",1551.1,,,,,,,,,,,,,"Bob Miller",1008877,119112
"Cyclone Miller","- - -",222.1,,,,,,,,,,,,,"Cyclone Miller",1008882,119088
"Dyar Miller","- - -",465.1,,,,,,,,,,,,,"Dyar Miller",1008889,119066
"Elmer Miller","PHI",11.1,,,,,,,,,,,,,"Elmer Miller",1008895,119072
"Fred Miller","BRO",21,,,,,,,,,,,,,"Fred Miller",1008896,119075
"Frank Miller","- - -",1010,,,,,,,,,,,,,"Frank Miller",1008897,119074
"Jake Miller","- - -",1069.2,,,,,,,,,,,,,"Jake Miller",1008903,119126
"John Miller","BAL",227,,,,,,,,,,,,,"John Miller",1008907,119086
"Kurt Miller","- - -",80.2,,,,,,,,,,,,,"Kurt Miller",1008913,119092
"Larry Miller","- - -",145.1,,,,,,,,,,,,,"Larry Miller",1008914,119094
"Ox Miller","- - -",91.2,,,,,,,,,,,,,"Ox Miller",1008920,119084
"Paul Miller","PIT",26.1,,,,,,,,,,,,,"Paul Miller",1008921,119103
"Ralph Miller","- - -",187.2,,,,,,,,,,,,,"Ralph Miller",1008922,119104
"Ralph Miller","WAS",1,,,,,,,,,,,,,"Ralph Miller",1008925,119105
"Randy Miller","- - -",7.2,,,,,,,,,,,,,"Randy Miller",1008926,119107
"Red Miller","PHI",1.2,,,,,,,,,,,,,"Red Miller",1008927,119097
"Roscoe Miller","- - -",772.2,,,,,,,,,,,,,"Roscoe Miller",1008929,119117
"Ronny Miller","WAS",2,,,,,,,,,,,,,"Ronny Miller",1008930,119116
"Roger Miller","MIL",2.1,,,,,,,,,,,,,"Roger Miller",1008932,119115
"Russ Miller","PHI",123.1,,,,,,,,,,,,,"Russ Miller",1008933,119120
"Stu Miller","- - -",1694,,,,,,,,,,,,,"Stu Miller",1008935,119121
