Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"John Curtiss","- - -",0.32044199,0.72797677,0.50347826,0.62068966,0.86170213,0.77720207,0.44913043,0.59833333,0.11207646,0.14943527,0.26151173,"John Curtiss",16128,595928
"John Danks","CHW",0.2738833,0.67073783,0.46847697,0.68233911,0.85981542,0.80693459,0.49034005,0.60342946,0.0901312,0.17137968,0.26151088,"John Danks",6329,433579
"Dillon Gee","- - -",0.3258547,0.65345356,0.46992369,0.69344262,0.87893778,0.80687789,0.43977256,0.60404151,0.09042117,0.17107715,0.26149832,"Dillon Gee",7396,518716
"Wilmer Font","- - -",0.3127295,0.69565217,0.48151951,0.67710372,0.83705357,0.77896233,0.44079398,0.57142857,0.10643395,0.1550308,0.26146475,"Wilmer Font",5257,521655
"Brian Sanches","- - -",0.28991971,0.67315175,0.46052957,0.63846154,0.84640793,0.77377754,0.44518683,0.59454191,0.10225345,0.15919554,0.26144899,"Brian Sanches",2739,430083
"Jalen Beeks","- - -",0.31279503,0.70469799,0.47462077,0.60841938,0.85363409,0.75875845,0.41292299,0.58756418,0.11446486,0.14698163,0.26144649,"Jalen Beeks",17192,656222
"Joey Wentz","- - -",0.31120716,0.71190893,0.47691472,0.6031746,0.8696187,0.76765376,0.41354336,0.61034232,0.11072915,0.15071467,0.26144382,"Joey Wentz",19962,666214
"Cionel Pérez","- - -",0.29228803,0.67158019,0.45139748,0.62099125,0.87093942,0.7769863,0.41949048,0.58561968,0.10056832,0.1608599,0.26142822,"Cionel Perez",19614,672335
"Tim Peterson","NYM",0.3125,0.69111969,0.49177331,0.67777778,0.83798883,0.78438662,0.47349177,0.63398693,0.10603291,0.15539305,0.26142596,"Tim Peterson",13946,623402
"Wade Davis","- - -",0.28999262,0.67361863,0.45793561,0.65709091,0.86791315,0.79285344,0.43777791,0.57775661,0.09454588,0.16687349,0.26141937,"Wade Davis",7441,451584
"Tanner Roark","- - -",0.29711547,0.65515564,0.451481,0.69354839,0.87583519,0.80759405,0.43114024,0.59900683,0.08671761,0.17469123,0.26140883,"Tanner Roark",8753,543699
"Willie Banks","BOS",0.15584416,0.73925501,0.46575342,0.45833333,0.81007752,0.75490196,0.53120244,0.55555556,0.11398176,0.14741641,0.26139818,"Willie Banks",1434,110536
"Bowden Francis","TOR",0.30846325,0.72915231,0.49645827,0.66967509,0.86011342,0.79466501,0.44687404,0.62155689,0.10178352,0.1595941,0.26137761,"Bowden Francis",20548,670102
"Jason Miller","MIN",0.20512821,0.57777778,0.4047619,0.625,0.96153846,0.88235294,0.53571429,0.77272727,0.04545455,0.21590909,0.26136364,"Jason Miller",3104,460654
"Jayden Murray","HOU",0.3125,0.70833333,0.52840909,0.72,0.88235294,0.83870968,0.54545455,0.63829787,0.08522727,0.17613636,0.26136364,"Jayden Murray",26482,681151
"Sam Clay","- - -",0.2647619,0.64285714,0.42303433,0.65467626,0.89300412,0.80628272,0.41860465,0.51028807,0.08194906,0.17940199,0.26135105,"Sam Clay",16279,621348
"Macay McBride","- - -",0.20210526,0.65026738,0.42440318,0.546875,0.86677632,0.79,0.49602122,0.54545455,0.08851423,0.17281349,0.26132771,"Macay McBride",3475,434680
"Mike MacDougal","- - -",0.20546763,0.63077939,0.40350607,0.54481793,0.88062827,0.78925305,0.46563125,0.53451327,0.08426025,0.17705318,0.26131342,"Mike MacDougal",612,213680
"Ben Kozlowski","TEX",0.08653846,0.63157895,0.34673367,0.44444444,0.86666667,0.8115942,0.47738693,0.58,0.06532663,0.1959799,0.26130653,"Ben Kozlowski",1634,420684
"Kyle Funkhouser","DET",0.29207383,0.67120954,0.43965517,0.6133829,0.85786802,0.7586727,0.38925729,0.58047493,0.1061008,0.15517241,0.26127321,"Kyle Funkhouser",19456,608335
"Jake Barrett","- - -",0.30021598,0.69955817,0.46915888,0.54676259,0.86947368,0.75033201,0.42305296,0.56904762,0.11612106,0.14515133,0.26127239,"Jake Barrett",13322,545332
"Jose Acevedo","- - -",0.17179631,0.6983262,0.48232323,0.51465798,0.87012263,0.81818182,0.58976125,0.61767135,0.08700591,0.17423898,0.26124489,"Jose Acevedo",307,406895
"Ryan Webb","- - -",0.29904762,0.63154173,0.45633991,0.6910828,0.88297872,0.81671554,0.47306792,0.61566049,0.0819941,0.17923909,0.26123319,"Ryan Webb",7474,444436
"Vic Black","- - -",0.3125,0.64480874,0.45626478,0.59333333,0.88135593,0.76943005,0.43262411,0.52678571,0.10520095,0.15602837,0.26122931,"Vic Black",9195,502195
"Mike DeJean","- - -",0.24432296,0.71572212,0.47021463,0.4302926,0.85887612,0.74289707,0.47919404,0.54925138,0.11929371,0.14190353,0.26119724,"Mike DeJean",682,113211
"Tommy Phelps","- - -",0.2185904,0.67283951,0.44490005,0.51401869,0.85932722,0.77419355,0.49820605,0.56463878,0.10010163,0.16107724,0.26117886,"Tommy Phelps",1665,425882
"Sam Long","- - -",0.29775012,0.68894289,0.47014726,0.67041801,0.8659612,0.79669704,0.44069612,0.60260586,0.09553117,0.16564089,0.26117206,"Sam Long",25379,669674
"Corey Thurman","TOR",0.17505995,0.70451613,0.4300808,0.45205479,0.7967033,0.72398844,0.48166563,0.51295337,0.1191358,0.14197531,0.26111111,"Corey Thurman",1324,407903
"P.J. Walters","- - -",0.27846365,0.60986547,0.4220754,0.73891626,0.89117647,0.83425414,0.43334629,0.57309942,0.06952491,0.19157976,0.26110467,"P.J. Walters",9557,502208
"Bryce Miller","SEA",0.31473534,0.73564014,0.50524667,0.65636364,0.8466604,0.78177309,0.45262334,0.63319045,0.11018939,0.15088433,0.26107372,"Bryce Miller",29837,682243
"Alfredo Aceves","- - -",0.29709914,0.67450843,0.47669173,0.69313305,0.87298282,0.81423063,0.47585631,0.58661664,0.08801063,0.17303222,0.26104284,"Alfredo Aceves",5164,469686
"Jose Quintana","- - -",0.29928741,0.65487763,0.44787255,0.67377646,0.89083061,0.80639352,0.41785498,0.64389469,0.08650668,0.17445035,0.26095703,"Jose Quintana",11423,500779
"John Ennis","- - -",0.20081967,0.68992248,0.45219124,0.48979592,0.86516854,0.78414097,0.51394422,0.61068702,0.09760956,0.16334661,0.26095618,"John Ennis",85,407795
"Osvaldo Bido","- - -",0.3029661,0.6962963,0.47613401,0.61888112,0.8655706,0.77770859,0.4402609,0.61538462,0.1056213,0.15532544,0.26094675,"Osvaldo Bido",23150,674370
"Kyle Nicolas","PIT",0.29485936,0.71994135,0.46409807,0.52302632,0.87780041,0.74213836,0.39813193,0.57798165,0.11967309,0.14127262,0.26094571,"Kyle Nicolas",27775,693312
"Erasmo Ramírez","- - -",0.3198084,0.69224476,0.49212718,0.67180617,0.86173481,0.79541609,0.46267979,0.63127253,0.10041525,0.1605134,0.26092865,"Erasmo Ramirez",10314,541640
"Jeff Karstens","- - -",0.28578045,0.65020027,0.4716296,0.68800648,0.89698836,0.83493744,0.50998638,0.62306163,0.07722484,0.18370321,0.26092804,"Jeff Karstens",5879,444371
"Logan Allen","CLE",0.28754579,0.69213567,0.45441968,0.66515014,0.87883683,0.79939107,0.41245196,0.62735562,0.09111862,0.16979103,0.26090965,"Logan Allen",27589,671106
"Gavin Floyd","- - -",0.27703704,0.65527916,0.44943311,0.61163102,0.88746415,0.79493217,0.45578231,0.60291916,0.09140403,0.16947205,0.26087608,"Gavin Floyd",3886,425856
"Bryan Hebson","MON",0.20833333,0.72727273,0.45652174,0.2,1,0.80952381,0.47826087,0.58333333,0.08695652,0.17391304,0.26086957,"Bryan Hebson",1761,282880
"Francisco Cruceta","- - -",0.22988506,0.67431193,0.43215031,0.35,0.89115646,0.73429952,0.45511482,0.49612403,0.11387164,0.14699793,0.26086957,"Francisco Cruceta",2104,425510
"Henry Sosa","HOU",0.3246493,0.62872629,0.45391705,0.67901235,0.88362069,0.79949239,0.42511521,0.61904762,0.09038902,0.17048055,0.26086957,"Henry Sosa",6936,464400
"Christian Montes De Oca","ARI",0.20833333,0.54545455,0.36956522,1,0.83333333,0.88235294,0.47826087,0.44444444,0.04347826,0.2173913,0.26086957,"Christian Montes De Oca",30206,801216
"Justus Sheffield","- - -",0.27349081,0.66986706,0.43817122,0.61036468,0.90077178,0.79481793,0.41546487,0.61647059,0.08990488,0.17091132,0.2608162,"Justus Sheffield",17285,656954
"Josh Towers","- - -",0.24470397,0.68000813,0.49372385,0.67813541,0.89871527,0.85193032,0.57205951,0.65357698,0.07242372,0.18837075,0.26079447,"Josh Towers",1489,346869
"Matt Thornton","- - -",0.29139785,0.71031065,0.49441212,0.64944649,0.83123155,0.77601345,0.48462178,0.60271526,0.10945319,0.15130561,0.2607588,"Matt Thornton",1918,407819
"Bo Schultz","- - -",0.31559633,0.68631579,0.48823529,0.63372093,0.8803681,0.79518072,0.46568627,0.62093863,0.09960938,0.16113281,0.26074219,"Bo Schultz",5028,544759
"Robert Person","- - -",0.20551091,0.67714631,0.4352179,0.4972067,0.85714286,0.7699594,0.48704358,0.53950339,0.10005886,0.16068275,0.26074161,"Robert Person",966,120447
"Chad Harville","- - -",0.22593583,0.68541033,0.44096728,0.44674556,0.86696231,0.75241935,0.46799431,0.54189189,0.10802252,0.15270936,0.26073188,"Chad Harville",915,150420
"Tyler Cravy","MIL",0.26512968,0.64440079,0.42560266,0.66847826,0.86585366,0.79492188,0.42310889,0.60194175,0.08663366,0.17409241,0.26072607,"Tyler Cravy",10770,572788
"Devin Smeltzer","- - -",0.33287483,0.66513339,0.47500984,0.7231405,0.8879668,0.82187241,0.42778434,0.61946903,0.08454581,0.17616988,0.26071569,"Devin Smeltzer",19487,656970
"Luke Hochevar","KCR",0.27418936,0.65835341,0.45777748,0.62346263,0.88097288,0.80044379,0.47788989,0.58213475,0.09111694,0.16959182,0.26070876,"Luke Hochevar",6943,460024
"Chad Bentz","- - -",0.18245614,0.65975104,0.40114068,0.59615385,0.83647799,0.77725118,0.4581749,0.53571429,0.08752328,0.17318436,0.26070764,"Chad Bentz",1889,430566
"Cody Poteet","- - -",0.28966346,0.70502431,0.46652864,0.65145228,0.84367816,0.77514793,0.4258109,0.61173184,0.10482759,0.15586207,0.26068966,"Cody Poteet",18769,547001
"Tommy Hottovy","- - -",0.20930233,0.58095238,0.37606838,0.66666667,0.93442623,0.85227273,0.44871795,0.47540984,0.05555556,0.20512821,0.26068376,"Tommy Hottovy",7542,459415
"Justin Masterson","- - -",0.28095822,0.63840124,0.44562564,0.63209131,0.89242477,0.80390366,0.46068159,0.56967606,0.08677019,0.17389331,0.26066351,"Justin Masterson",2038,475416
"Luis Morales","ATH",0.26247289,0.66666667,0.43970767,0.63636364,0.85833333,0.78393352,0.43848965,0.52261307,0.09500609,0.16565164,0.26065773,"Luis Morales",32227,806960
"Craig Hansen","- - -",0.23561346,0.63218391,0.41784038,0.5483871,0.88484848,0.78230337,0.45950704,0.52466368,0.09037901,0.17026239,0.2606414,"Craig Hansen",4798,475022
"Eric Lauer","- - -",0.29245713,0.69104171,0.47101206,0.69278672,0.85899865,0.80202775,0.44797252,0.62004662,0.09317706,0.16743407,0.26061113,"Eric Lauer",19316,641778
"Daniel Lynch IV","KCR",0.3075,0.70561283,0.47515678,0.6034327,0.86688312,0.76818951,0.4211288,0.59361302,0.11012862,0.15048232,0.26061093,"Daniel Lynch IV",21537,663738
"Matt Grace","- - -",0.29420186,0.65210608,0.46547219,0.67396594,0.90789474,0.83079391,0.47853677,0.62305699,0.07855547,0.1820551,0.26061057,"Matt Grace",11449,594840
"Walter Pennington","- - -",0.30612245,0.67164179,0.45454545,0.63333333,0.86666667,0.77333333,0.40606061,0.64285714,0.1030303,0.15757576,0.26060606,"Walter Pennington",27624,679156
"Livan Hernandez","- - -",0.21327122,0.63272359,0.41800204,0.68513586,0.90112063,0.84470883,0.48809074,0.57716769,0.06446214,0.19612765,0.2605898,"Livan Hernandez",1116,115817
"Kolby Allard","- - -",0.2836267,0.69251235,0.47429989,0.72482436,0.85949506,0.81651719,0.466324,0.62576687,0.08697963,0.17360496,0.26058459,"Kolby Allard",18694,663465
"Adam Cimber","- - -",0.32535322,0.70559718,0.50446336,0.72858866,0.87195503,0.82304527,0.47104007,0.63549337,0.08921162,0.17136929,0.26058091,"Adam Cimber",15288,643256
"Rick Porcello","- - -",0.30887382,0.65126812,0.46781799,0.72704174,0.88962845,0.83211351,0.46421385,0.62870287,0.07827438,0.18230163,0.260576,"Rick Porcello",2717,519144
"Zeke Spruill","ARI",0.3297491,0.63374486,0.47126437,0.7173913,0.9025974,0.83333333,0.46551724,0.67532468,0.07854406,0.18199234,0.2605364,"Zeke Spruill",3873,543809
"J.R. Graham","MIN",0.2859589,0.71176471,0.48446069,0.62874251,0.84848485,0.77924528,0.46617916,0.57876712,0.10694698,0.1535649,0.26051188,"J.R. Graham",12042,543242
"Jason Motte","- - -",0.3119294,0.69968652,0.50293391,0.68195122,0.84991039,0.7970525,0.49258802,0.64785276,0.10114591,0.15935829,0.2605042,"Jason Motte",5861,435400
"Brian Shouse","- - -",0.22132144,0.65420561,0.44651886,0.59340659,0.88914286,0.81881533,0.52022559,0.58344828,0.07905213,0.1814218,0.26047393,"Brian Shouse",630,122195
"Marcos Carvajal","- - -",0.20816327,0.67818575,0.43651626,0.56862745,0.86305732,0.79086538,0.48583421,0.55335968,0.09100418,0.16945607,0.26046025,"Marcos Carvajal",3216,434881
"James Russell","- - -",0.32867133,0.68459361,0.48940833,0.72137791,0.8511518,0.80335821,0.45160701,0.62797203,0.09477652,0.16567941,0.26045593,"James Russell",4089,460701
"Kaz Ishii","- - -",0.16560102,0.64004044,0.40904846,0.50965251,0.86382306,0.79401319,0.51312649,0.52804487,0.08440215,0.17604468,0.26044683,"Kaz Ishii",655,408193
"Jair Jurrjens","- - -",0.26618123,0.65976893,0.45671592,0.70638298,0.87271302,0.82270152,0.48409717,0.61155501,0.08044933,0.17997852,0.26042785,"Jair Jurrjens",5556,457453
"Jon Lieber","- - -",0.2596401,0.70763828,0.51711378,0.5262757,0.88668321,0.80972516,0.57472038,0.66742792,0.09770547,0.16270338,0.26040884,"Jon Lieber",287,117758
"José Buttó","- - -",0.31078431,0.72021661,0.45489199,0.56782334,0.85964912,0.73044693,0.3519695,0.57307692,0.12242309,0.13796384,0.26038693,"Jose Butto",23313,676130
"Chris Nichting","COL",0.18297872,0.67457627,0.45660377,0.48837209,0.88442211,0.81404959,0.55660377,0.58940397,0.08490566,0.1754717,0.26037736,"Chris Nichting",1414,119775
"Ethan Roberts","CHC",0.31465517,0.67975831,0.46666667,0.66438356,0.88444444,0.79784367,0.4163522,0.62051282,0.09433962,0.16603774,0.26037736,"Ethan Roberts",24930,681799
"Glenn Otto","TEX",0.30118343,0.68787108,0.46009062,0.61689587,0.88779285,0.78333333,0.41094458,0.56341789,0.0996863,0.16068316,0.26036947,"Glenn Otto",21366,657248
"Josh Edgin","NYM",0.29722922,0.66333333,0.45480631,0.57062147,0.9078727,0.78233438,0.43041607,0.57904412,0.09852451,0.1618277,0.26035221,"Josh Edgin",10796,572831
"Alex Hinshaw","- - -",0.20187166,0.64242424,0.40838068,0.60264901,0.83490566,0.77391304,0.46875,0.4870317,0.09122807,0.16912281,0.26035088,"Alex Hinshaw",3941,450527
"Phil Norton","- - -",0.19373219,0.65409836,0.40777439,0.66911765,0.84210526,0.79813084,0.46493902,0.50549451,0.08102026,0.17929482,0.26031508,"Phil Norton",1714,150041
"Robbie Ross Jr.","- - -",0.29672245,0.66654121,0.47457014,0.66274971,0.8769057,0.80739893,0.48090498,0.6247394,0.09077836,0.16951285,0.26029121,"Robbie Ross Jr.",6819,543726
