Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Weston Wilson","PHI",4,0.23809524,0.65217391,0.45454545,1,1,1,0.52272727,11.14285714,"Weston Wilson",19358,642215
"Cooper Hummel","HOU",1,0.33333333,0.63636364,0.52941176,0.5,1,0.88888889,0.64705882,11.125,"Cooper Hummel",19458,669450
"Rowdy Tellez","- - -",5.2,0.25531915,0.75757576,0.4625,0.91666667,0.92,0.91891892,0.4125,11.08,"Rowdy Tellez",15679,642133
"Travis Jankowski","NYM",1,0.41666667,1,0.46153846,1,1,1,0.07692308,11,"Travis Jankowski",13768,608671
"Tyler Wade","SDP",1,0.15384615,0.6,0.27777778,1,1,1,0.27777778,11,"Tyler Wade",15730,642180
"Joshua Fuentes","COL",1,0,0.8,0.44444444,,1,1,0.55555556,11,"Joshua Fuentes",16885,658069
"Brian Serven","COL",1,0,0.75,0.375,,1,1,0.5,11,"Brian Serven",19422,661531
"Tim Federowicz","TEX",1,0.33333333,0.71428571,0.6,1,1,1,0.7,10.71428571,"Tim Federowicz",8609,543148
"Joe Inglett","MIL",1,0.66666667,0.33333333,0.5,1,1,1,0.5,10.66666667,"Joe Inglett",7254,446928
"Luis Vázquez","BAL",4.1,0.26315789,0.75,0.4516129,1,0.88888889,0.92857143,0.38709677,10.61111111,"Luis Vazquez",23442,676679
"Nick Loftin","KCR",1,0.25,0.75,0.5,1,1,1,0.5,10.6,"Nick Loftin",27630,679845
"César Salazar","HOU",1,0.2,0.5,0.36363636,1,1,1,0.54545455,10.57142857,"Cesar Salazar",21587,663967
"Ezequiel Duran","TEX",3.1,0.4375,0.55555556,0.48,1,1,1,0.36,10.57142857,"Ezequiel Duran",23733,677649
"Phil Gosselin","LAA",1,0.33333333,1,0.6,1,1,1,0.4,10.5,"Phil Gosselin",10953,594838
"Luke Raley","TBR",2.2,0.38095238,0.7,0.53658537,0.875,1,0.95454545,0.48780488,10.5,"Luke Raley",19354,670042
"Michael A. Taylor","KCR",2,0.2,0.64705882,0.40540541,0.75,0.90909091,0.86666667,0.45945946,10.41666667,"Michael A. Taylor",11489,572191
"Yadier Molina","STL",2,0.1875,0.75,0.525,1,0.94444444,0.95238095,0.6,10.39285714,"Yadier Molina",7007,425877
"David Fry","CLE",5,0.29032258,0.73170732,0.54166667,0.88888889,1,0.97435897,0.56944444,10.2826087,"David Fry",24934,681807
"Alex Jackson","BAL",1,0.23529412,0.71428571,0.375,0.75,1,0.88888889,0.29166667,10.25,"Alex Jackson",17276,656577
"Reese McGuire","- - -",2,0.3125,0.625,0.41666667,1,1,1,0.33333333,10.2,"Reese McGuire",15674,624512
"Andrelton Simmons","CHC",1,0.27777778,0.71428571,0.4,1,0.8,0.9,0.28,10.1875,"Andrelton Simmons",10847,592743
"Brian Dozier","WSN",1,0,0.77777778,0.46666667,,1,1,0.6,10.18181818,"Brian Dozier",9810,572821
"Austin Hedges","- - -",8.2,0.16393443,0.65151515,0.41732283,0.9,1,0.98113208,0.51968504,10.16853933,"Austin Hedges",12976,595978
