Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jonathon Niese","- - -",0.3101864360983518,1.738072965,0.210625674,0.501078748,0.288295577,0.081384471,0.122544434,657,4.971692716934526,6667,12317,18984,0.39222338,0.36299582,0.24478079,0.18345511,0.5125261,0.30401879,"Jonathon Niese",4424,477003
"Sam Tuivailala","- - -",0.29476584022038566,1.322834645,0.204851752,0.452830188,0.342318059,0.05511811,0.094488188,58,4.110236718167036,785,1401,2186,0.36533333,0.36266667,0.272,0.19733333,0.49866667,0.304,"Sam Tuivailala",13485,592815
"Tommy Milone","- - -",0.29503210544102737,0.938211382,0.22243966,0.37638617,0.401174168,0.110569105,0.131707317,533,5.0318181130254045,5577,10053,15630,0.42980769,0.34871795,0.22147436,0.1849359,0.51121795,0.30384615,"Tommy Milone",7608,543548
"Tucker Davidson","- - -",0.3052109181141439,1.248275862,0.208737864,0.439320388,0.351941747,0.062068965,0.117241379,61,4.2339334902190835,825,1357,2182,0.40669856,0.33253589,0.26076555,0.14354067,0.55263158,0.30382775,"Tucker Davidson",19871,656353
"Trevor Williams","- - -",0.30340046219874545,1.089666951,0.214193962,0.409762363,0.376043673,0.092228864,0.12467976,533,4.754212005802351,6115,10680,16795,0.39520958,0.3441538,0.26063662,0.1720769,0.52410968,0.30381343,"Trevor Williams",16977,592866
"Scott Barnes","CLE",0.28,1,0.205128205,0.397435897,0.397435897,0.096774193,0.129032258,8,2.602409518946934,188,289,477,0.43037975,0.34177215,0.2278481,0.18987342,0.50632911,0.30379747,"Scott Barnes",8718,488683
"Danny Coulombe","- - -",0.27923627684964203,1.523636363,0.187353629,0.490632318,0.322014051,0.083636363,0.112727272,132,3.7515800734293507,1925,3276,5201,0.429229,0.32796318,0.24280783,0.18181818,0.51438435,0.30379747,"Danny Coulombe",13293,543056
"Travis Wood","- - -",0.28071379547014413,0.770239013,0.222485607,0.338300033,0.439214358,0.116422513,0.092521202,492,4.454728566825524,5977,10504,16481,0.36411609,0.35521108,0.28067282,0.18370712,0.51253298,0.30375989,"Travis Wood",9884,475243
"Jonathan Sánchez","- - -",0.29414542020774315,0.993197278,0.183844011,0.406685236,0.409470752,0.123582766,0.103174603,374,4.2806272838437165,5533,8540,14073,0.41104572,0.3354459,0.25350837,0.18560435,0.5106383,0.30375736,"Jonathan Sanchez",7507,456043
"Jordan Montgomery","- - -",0.2993224392188123,1.223799126,0.211687306,0.433823529,0.354489164,0.087336244,0.113537117,474,4.892201850913649,4934,9018,13952,0.40865569,0.34967445,0.24166986,0.16775182,0.52853313,0.30371505,"Jordan Montgomery",16511,656756
