Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Steel Arm Davis","- - -",82.1,,,,,,,,,,,,,"Steel Arm Davis",1015002,
"Bill Davis","PS",10.2,,,,,,,,,,,,,"Bill Davis",1015004,
"Leon Day","- - -",609,,,,,,,,,,,,,"Leon Day",1015012,
"Nelson Dean","- - -",794.1,,,,,,,,,,,,,"Nelson Dean",1015018,
"Robert Dean","- - -",58.1,,,,,,,,,,,,,"Robert Dean",1015019,
"Alpheus Deane","NBY",10.2,,,,,,,,,,,,,"Alpheus Deane",1015020,
"Russ Dedeaux","- - -",11,,,,,,,,,,,,,"Russ Dedeaux",1015025,
"(Unknown) DeShield","PS",5,,,,,,,,,,,,,"(Unknown) DeShield",1015032,
"Kermit Dial","- - -",35,,,,,,,,,,,,,"Kermit Dial",1015035,
"Heliodoro Díaz","- - -",672.1,,,,,,,,,,,,,"Heliodoro Diaz",1015038,
"Steel Arm Dickey","SLS",25.1,,,,,,,,,,,,,"Steel Arm Dickey",1015041,
"Martín Dihigo","- - -",402,,,,,,,,,,,,,"Martin Dihigo",1015042,
"Lamon Dillard","NLG",8,,,,,,,,,,,,,"Lamon Dillard",1015043,
"Jimmy Direaux","WEG",93,,,,,,,,,,,,,"Jimmy Direaux",1015046,
"Dizzy Dismukes","- - -",504,,,,,,,,,,,,,"Dizzy Dismukes",1015047,
"Eddie Dixon","- - -",149.1,,,,,,,,,,,,,"Eddie Dixon",1015048,
"Glenn Dixon","SL2",4.2,,,,,,,,,,,,,"Glenn Dixon",1015050,
"Johnnie Bob Dixon","- - -",136.2,,,,,,,,,,,,,"Johnnie Bob Dixon",1015051,
"(Unknown) Dixon","- - -",31.1,,,,,,,,,,,,,"(Unknown) Dixon",1015056,
"Justo Domínguez","CSW",52,,,,,,,,,,,,,"Justo Dominguez",1015057,
"John Donaldson","KCM",137,,,,,,,,,,,,,"John Donaldson",1015058,
"Bunny Downs","- - -",3.1,,,,,,,,,,,,,"Bunny Downs",1015065,
"Andy Drake","- - -",22.2,,,,,,,,,,,,,"Andy Drake",1015066,
"Bill Drake","- - -",1263.2,,,,,,,,,,,,,"Bill Drake",1015067,
"Ralph Ducy","DM",10.1,,,,,,,,,,,,,"Ralph Ducy",1015074,
"Ed Dudley","- - -",20.2,,,,,,,,,,,,,"Ed Dudley",1015076,
"Louis Dula","HG",171.1,,,,,,,,,,,,,"Louis Dula",1015080,
"Lafayette Dumas","MRS",25,,,,,,,,,,,,,"Lafayette Dumas",1015081,
"Bill Dumpson","NBY",6,,,,,,,,,,,,,"Bill Dumpson",1015082,
"Scottie Duncan","- - -",57.2,,,,,,,,,,,,,"Scottie Duncan",1015086,
"Frank Duncan III","BEG",14.2,,,,,,,,,,,,,"Frank Duncan III",1015088,
"Jake Dunn","PS",2,,,,,,,,,,,,,"Jake Dunn",1015091,
"Elbert Eatmon","BBB",57,,,,,,,,,,,,,"Elbert Eatmon",1015096,
"Juan Eckelson","CSW",51,,,,,,,,,,,,,"Juan Eckelson",1015098,
"Weedy Edwards","- - -",13,,,,,,,,,,,,,"Weedy Edwards",1015102,
"Jesse Edwards","DS",2.1,,,,,,,,,,,,,"Jesse Edwards",1015103,
"(Unknown) Edwards","SLS",1,,,,,,,,,,,,,"(Unknown) Edwards",1015104,
"Mack Eggleston","WAP",5,,,,,,,,,,,,,"Mack Eggleston",1015105,
"Jim Elam","NE",31,,,,,,,,,,,,,"Jim Elam",1015106,
"Rocky Ellis","- - -",408.2,,,,,,,,,,,,,"Rocky Ellis",1015107,
"Specs Ellis","- - -",55,,,,,,,,,,,,,"Specs Ellis",1015108,
"Buster Emmett","ABC",1,,,,,,,,,,,,,"Buster Emmett",1015110,
"Charles England","NE",11,,,,,,,,,,,,,"Charles England",1015111,
"Alex Evans","- - -",54.2,,,,,,,,,,,,,"Alex Evans",1015118,
"Bob Evans","- - -",568.2,,,,,,,,,,,,,"Bob Evans",1015120,
"Clarence Evans","HG",17.2,,,,,,,,,,,,,"Clarence Evans",1015121,
"Felix Evans","- - -",207.2,,,,,,,,,,,,,"Felix Evans",1015122,
"Ulysses Evans","- - -",7,,,,,,,,,,,,,"Ulysses Evans",1015126,
"William Evans","- - -",29.2,,,,,,,,,,,,,"William Evans",1015127,
"Jimmy Everett","- - -",56.1,,,,,,,,,,,,,"Jimmy Everett",1015130,
"Buck Ewing","COB",5.2,,,,,,,,,,,,,"Buck Ewing",1015131,
"Julián Fabelo","CSE",10,,,,,,,,,,,,,"Julian Fabelo",1015133,
"Isidro Fabré","- - -",410,,,,,,,,,,,,,"Isidro Fabre",1015134,
"John Fallings","NBY",2,,,,,,,,,,,,,"John Fallings",1015139,
"Luther Farrell","- - -",752.1,,,,,,,,,,,,,"Luther Farrell",1015141,
"(Unknown) Fazio","HG",5.2,,,,,,,,,,,,,"(Unknown) Fazio",1015143,
"Bernard Fernández","- - -",15.2,,,,,,,,,,,,,"Bernard Fernandez",1015146,
"Pablo Fernández","CSW",39.1,,,,,,,,,,,,,"Pablo Fernandez",1015147,
"Rodolfo Fernández","- - -",58.1,,,,,,,,,,,,,"Rodolfo Fernandez",1015148,
"José María Fernández","CSE",8,,,,,,,,,,,,,"Jose Maria Fernandez",1015149,
"Toots Ferrell","- - -",18,,,,,,,,,,,,,"Toots Ferrell",1015152,
"Willie Ferrell","- - -",194.2,,,,,,,,,,,,,"Willie Ferrell",1015153,
"Buddy Fields","- - -",55.2,,,,,,,,,,,,,"Buddy Fields",1015157,
"James Field","SLG",58.1,,,,,,,,,,,,,"James Field",1015158,
"Wilmer Fields","HG",203.2,,,,,,,,,,,,,"Wilmer Fields",1015159,
"(Unknown) Fields","CLS",7,,,,,,,,,,,,,"(Unknown) Fields",1015160,
"John Fifer","ABC",33,,,,,,,,,,,,,"John Fifer",1015162,
"José Figueroa","NYC",48.2,,,,,,,,,,,,,"Jose Figueroa",1015164,
"Tite Figueroa","BEG",59.1,,,,,,,,,,,,,"Tite Figueroa",1015165,
"Joe Fillmore","PS",244,,,,,,,,,,,,,"Joe Fillmore",1015166,
"Rayford Finch","CBE",2,,,,,,,,,,,,,"Rayford Finch",1015168,
"John Finner","- - -",505.2,,,,,,,,,,,,,"John Finner",1015171,
