Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Julio Gonzalez","WAS",0,0,0,13,0,34.1,1.3106808252064466,7.077676456114812,0.786408495123868,0.24,0.72183099,,,,4.718450970743207,,5.80207956394194,,-0.5425042510032654,"Julio Gonzalez",1004837,114934
"Bill McTigue","- - -",2,5,0,27,9,77,4.792207881237771,8.415584571929744,0.35064935716373935,0.3094009213154902,0.60344828,,,,6.194805309892728,,5.097362837440002,,-0.5435040518641472,"Bill McTigue",1008695,118880
"Brad Rigby","- - -",5,13,2,73,14,175,3.8571429202021394,3.1371429084310734,1.5942857403502178,0.3059581320450886,0.70913462,,,,5.502857232821719,,5.802942089466908,,-0.5441606510430574,"Brad Rigby",1010954,121197
"Bob Smith","- - -",0,0,3,17,1,39.2,3.1764680425916056,4.764702063887409,0.6806717234124869,0.29014923828129713,0.72368421,,,,4.310920914945751,,4.38247781758751,,-0.5443510562181473,"Bob Smith",1012099,122452
"Pat Perry","- - -",12,10,6,182,0,263.2,4.471555263236878,3.3792669546599305,0.7850822217896809,0.23300970873786409,0.71827057,,,,3.4816689835890196,,4.120649025830449,,-0.5449082404375076,"Pat Perry",1010215,120445
"Curt Wardle","- - -",8,9,1,52,12,119,6.731093623730794,4.689076456981002,1.663865839573904,0.2975206611570248,0.66789216,,,,6.126051500249374,,5.208280638078975,,-0.5451117753982544,"Curt Wardle",1013620,123932
"Charlie Cozart","BSN",1,0,0,5,0,8,4.5,16.875,2.25,0.2857142857142857,0.63063063,,,,10.125,,10.564601135253906,,-0.5451517701148987,"Charlie Cozart",1002711,112771
"Ken Jungels","- - -",1,0,0,25,0,49,3.857142819607571,5.877550963211537,0.9183673380018026,0.29651162790697677,0.5952381,,,,6.795918301213339,,5.391800363979616,,-0.5455261655151844,"Ken Jungels",1006650,116792
"Dave Campbell","ATL",4,10,14,118,0,158,4.955696202531645,4.670886075949367,0.9683544303797469,0.2544731610337972,0.77651515,,,,3.8164556962025316,,4.677145161000189,,-0.5465717315673828,"Dave Campbell",1001877,111924
"Curt Kaufman","- - -",3,3,1,40,1,86.1,5.212354713347068,3.127412828008241,1.5637064140041206,0.2608695652173913,0.75,,,,4.482625053478479,,4.904602330538061,,-0.546674620360136,"Curt Kaufman",1006717,116862
"Herb Hash","BOS",8,7,4,38,12,128.1,2.7350656532113193,6.3818198574930785,0.8415586625265598,0.26222222222222225,0.73135755,,,,4.979222086615478,,5.7166496947201875,,-0.5466846078634262,"Herb Hash",1005474,115589
"Brian Stokes","- - -",6,11,1,173,5,206.2,5.966130475342685,4.180646172502903,1.2193551336466801,0.3323529411764706,0.72687225,0.44045911,0.109375,95.28226877984669,5.269356113258867,,5.080565999141365,4.931997965685795,-0.5469509784015827,"Brian Stokes",8653,425530
"Rick Rodriguez","- - -",3,4,0,31,8,77,2.5714283166436216,4.792207317381295,1.0519479477178453,0.3120567375886525,0.69858713,,,,5.727272159797157,,5.426687869893893,,-0.5471503082662821,"Rick Rodriguez",1011110,121362
"Austen Williams","WSN",0,1,0,12,0,10,8.099999251663753,6.299999417960698,6.299999417960698,0.2857142857142857,0.81967213,0.235294117,0.388888888,93.68523876483624,10.799999002218339,10.86845527463424,12.562216635305449,6.502642528513228,-0.5476690828800201,"Austen Williams",16309,657117
"Red Bullock","PHA",0,2,0,12,2,16.2,3.7799923576509493,19.979959604726446,0,0.296875,0.42857143,,,,14.039971614132098,,9.133759671807237,,-0.5481386780738831,"Red Bullock",1001648,111686
"Brandon Bielak","- - -",12,13,1,76,21,204,7.058824090396701,4.014706201413124,1.4558824686443197,0.30944625407166126,0.73903819,0.446177847,0.144104803,93.24452437825198,4.632353309322835,5.408955360281993,5.29586243262052,5.088407833420696,-0.548443078994751,"Brandon Bielak",19866,656232
"Adalberto Mendez","FLA",1,3,0,5,5,24.2,4.013514547996147,4.378379506904888,2.554054712361184,0.2727272727272727,0.86956522,0.289156626,0.152173913,92.0796784507722,5.108109424722368,,7.577843586174517,6.166101807108603,-0.5487402677536011,"Adalberto Mendez",3752,458657
"John Flinn","- - -",5,2,2,42,1,69,4.695651395109194,4.8260861560844495,0.9130433268267877,0.27155172413793105,0.67901235,,,,4.173912351208172,,4.590545602043938,,-0.5490797311067581,"John Flinn",1004161,114244
