Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Kerry Wood","CHC",14,11,3.199052132701422,32,32,22,4,2,0,0,0,211,887,152,77,75,24,100,2,21,10,0,266,"Kerry Wood",304,134268
"Mark Prior","CHC",18,6,2.427444502840192,30,30,23,3,1,0,0,0,211.1,863,183,67,57,15,50,4,9,9,0,245,"Mark Prior",301,407578
"Javier Vazquez","MON",13,12,3.2384392349499116,34,34,22,4,1,0,0,0,230.2,938,198,93,83,28,57,5,4,11,1,241,"Javier Vazquez",801,134320
"Jason Schmidt","SFG",17,5,2.3402886952810817,29,29,20,5,3,0,0,0,207.2,819,152,56,54,14,46,1,5,7,1,208,"Jason Schmidt",1131,121834
"Esteban Loaiza","CHW",21,9,2.9027982979281104,34,34,27,1,0,0,0,0,226.1,922,196,75,73,17,56,2,10,3,1,207,"Esteban Loaiza",1310,117842
"Pedro Martínez","BOS",14,4,2.217857082425333,29,29,21,3,0,0,0,0,186.2,749,147,52,46,7,47,0,9,5,0,206,"Pedro Martinez",200,118377
"Roy Halladay","TOR",22,7,3.2481203007518795,36,36,23,9,2,0,0,0,266,1071,253,111,96,26,32,1,9,6,1,204,"Roy Halladay",1303,136880
"Mike Mussina","NYY",17,8,3.395962893845595,31,31,20,2,1,0,0,0,214.2,855,192,86,81,21,40,4,3,4,0,195,"Mike Mussina",837,119608
"Curt Schilling","ARI",8,9,2.9464285714285716,24,24,16,3,2,0,0,0,168,673,144,58,55,17,32,2,3,4,0,194,"Curt Schilling",73,121811
"Roger Clemens","NYY",17,9,3.9118109296228383,33,33,21,1,1,0,0,0,211.2,878,199,99,92,24,58,1,5,5,0,190,"Roger Clemens",815,112388
"Kevin Brown","LAD",14,9,2.3886255924170614,32,32,25,0,0,0,0,0,211,856,184,67,56,11,56,2,5,5,1,185,"Kevin Brown",642,111554
