Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Anthony Ferrari","MON",0.56,86.54166667,0.3,75.75,,,0.12,75.66666667,0.02,76,,,,,0.59677419,"Anthony Ferrari",1733,408246
"Ryan Madson","PHI",0.5,89.5,,,,,0.16666667,81,0.33333333,79.5,,,,,0.47826087,"Ryan Madson",1852,425492
"Brian Bowles","TOR",0.75,5.73684211,0.08333333,1,,,,,0.16666667,1.2,,,,,0.47058824,"Brian Bowles",1290,406954
"Jim Mann","PIT",0.75,,0.07142857,,,,,,0.17857143,,,,,,0.41666667,"Jim Mann",566,276509
"Scott Randall","CIN",0.7284345,87.36979167,0.07667732,74.86666667,,,0.16613419,73.26086957,0.02875399,79.66666667,,,,,0.33545648,"Scott Randall",749,150054
"Zach Day","MON",0.73209169,89.41346154,0.15759312,83.01351351,,,0.04154728,79.51724138,0.06876791,82.06,,,,,0.32625483,"Zach Day",1496,400180
"Dan Reichert","TOR",0.86857143,82.38135593,0.10285714,81.5,,,,,0.02857143,67.8,,,,,0.32432432,"Dan Reichert",624,150209
"Mario Ramos","TEX",0.71751412,84.02608696,,,,,0.11299435,68.36842105,0.16949153,73.22222222,,,,,0.31395349,"Mario Ramos",1272,407398
"Jeff Austin","CIN",0.7539267,86.5,0.04973822,73.6,,,0.12827225,76.6,0.06806283,76.125,,,,,0.29650092,"Jeff Austin",587,406953
"Matt Belisle","CIN",0.58585859,87.62264151,0.03030303,39.5,,,0.28282828,71.55555556,0.1010101,79.8,,,,,0.29285714,"Matt Belisle",1837,279571
"Dan Serafini","CIN",0.62729659,88.31521739,0.12598425,80.34375,,,0.11023622,72.28205128,0.13648294,80.57446809,,,,,0.28785047,"Dan Serafini",1812,122007
"Eric Milton","MIN",0.57647059,88.52325581,0.04117647,82,,,0.18823529,64.07407407,0.19411765,78.35483871,,,,,0.28571429,"Eric Milton",743,132980
"Sun-Woo Kim","MON",0.66666667,90.23943662,0.12021858,85.1875,,,0.1420765,69.4,0.07103825,85,,,,,0.27952756,"Sun-Woo Kim",197,279615
"Jason Young","COL",0.6969697,85.79856115,0.06060606,77.91666667,,,0.07407407,77.22727273,0.16835017,78.1875,,,,,0.27737226,"Jason Young",1707,408221
"Joey Eischen","MON",0.60504202,89.09274194,0.22184874,76.3373494,,,0.16806723,76.375,0.00504202,77.66666667,,,,,0.27172583,"Joey Eischen",774,113784
"Brad Voyles","KCR",0.52336449,88.86466165,0.00700935,,,,0.13785047,70.89189189,0.3317757,72.5862069,,,,,0.26586621,"Brad Voyles",1490,400143
"Jimmy Anderson","CIN",0.83295711,84.625,0.0993228,74.44444444,,,0.04063205,76.27777778,0.02708804,71.625,,,,,0.2641196,"Jimmy Anderson",977,150247
"Luis Ayala","MON",0.68527316,90.04030227,0.18408551,79.07446809,,,0.03800475,70.92,0.09263658,75.68965517,,,,,0.25618375,"Luis Ayala",1650,425646
"Ryan Jensen","SFG",0.58479532,85.375,0.18128655,77.09677419,,,0.16374269,73.2,0.07017544,65.91666667,,,,,0.25327511,"Ryan Jensen",1117,276528
"Garrett Stephenson","STL",0.68133462,82.97058824,,,,,0.15522244,70.82868526,0.16344294,77.82653061,,,,,0.25018129,"Garrett Stephenson",1185,122751
