Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Tim Lincecum","SFG",18,5,2.6167402640012676,34,33,26,2,1,0,0,0,227,928,182,72,66,11,84,1,6,17,2,265,"Tim Lincecum",5705,453311
"CC Sabathia","- - -",17,10,2.703557393780656,35,35,25,10,5,0,0,0,253,1023,223,85,76,19,59,1,7,2,2,251,"CC Sabathia",404,282332
"A.J. Burnett","TOR",18,10,4.0662648733545845,35,34,19,1,0,0,0,0,221.1,957,211,109,100,19,86,2,9,11,2,231,"A.J. Burnett",512,150359
"Ervin Santana","LAA",16,7,3.493150684931507,32,32,22,2,1,0,0,0,219,897,198,89,85,23,47,2,8,5,1,214,"Ervin Santana",3200,429722
"Johan Santana","NYM",16,7,2.534850530074681,34,34,28,3,2,0,0,0,234.1,964,206,74,66,23,63,5,4,9,2,206,"Johan Santana",755,276371
"Roy Halladay","TOR",20,11,2.780487613547507,34,33,23,9,2,0,1,0,246,987,220,88,76,18,39,3,12,4,0,206,"Roy Halladay",1303,136880
"Dan Haren","ARI",16,8,3.3333333333333335,33,33,23,1,1,0,0,0,216,881,204,86,80,19,40,4,6,11,0,206,"Dan Haren",1757,429717
"Edinson Volquez","CIN",17,6,3.2142859938454245,33,32,20,0,0,0,0,0,196,838,167,82,70,14,93,5,14,10,1,206,"Edinson Volquez",3990,450172
"Chad Billingsley","LAD",16,10,3.1395349682717537,35,32,20,1,1,0,1,0,200.2,859,188,76,70,14,80,6,8,10,0,201,"Chad Billingsley",5842,451532
"Javier Vazquez","CHW",12,16,4.6655997721875115,33,33,17,1,0,0,0,0,208.1,890,214,113,108,25,61,2,6,2,0,200,"Javier Vazquez",801,134320
"Cole Hamels","PHI",14,10,3.0879766086785683,33,33,23,2,2,0,0,0,227.1,914,193,89,78,28,53,7,1,0,0,196,"Cole Hamels",4972,430935
"Ryan Dempster","CHC",17,6,2.961290468340989,33,33,21,1,0,0,0,0,206.2,856,174,75,68,14,76,1,7,5,0,187,"Ryan Dempster",517,133225
"Ricky Nolasco","FLA",15,8,3.5180529854384908,34,32,23,1,1,0,0,0,212.1,868,192,88,83,28,42,6,6,1,3,186,"Ricky Nolasco",3830,445060
"Matt Cain","SFG",8,14,3.762633909014951,34,34,21,1,1,0,0,0,217.2,933,206,95,91,19,91,9,7,7,2,186,"Matt Cain",4732,430912
"Ted Lilly","CHC",17,9,4.089576445599374,34,34,21,0,0,0,0,0,204.2,861,187,96,93,32,64,2,7,4,4,184,"Ted Lilly",833,150404
"Gil Meche","KCR",14,11,3.97939787752899,34,34,21,0,0,0,0,0,210.1,886,204,98,93,19,73,2,0,5,0,183,"Gil Meche",1089,219194
"Brandon Webb","ARI",22,7,3.295588383196141,34,34,24,3,1,0,0,0,226.2,944,206,95,83,13,65,5,12,8,1,183,"Brandon Webb",1692,425630
"Zack Greinke","KCR",13,10,3.469522327744167,32,32,23,1,0,0,0,0,202.1,851,202,87,78,21,56,1,4,8,1,183,"Zack Greinke",1943,425844
"Rich Harden","- - -",10,2,2.067567460984541,25,25,14,0,0,0,0,0,148,595,96,38,34,11,61,2,3,3,0,181,"Rich Harden",1772,425848
"Oliver Pérez","NYM",10,7,4.221649484536083,34,34,17,0,0,0,0,0,194,847,167,100,91,24,105,4,11,9,1,180,"Oliver Perez",1514,424144
"Félix Hernández","SEA",9,11,3.4534882845580577,31,31,19,2,0,0,0,0,200.2,857,198,85,77,17,80,7,8,8,1,175,"Felix Hernandez",4772,433587
"Randy Johnson","ARI",11,10,3.9130434782608696,30,30,18,2,0,0,0,0,184,778,184,92,80,24,44,6,6,2,1,173,"Randy Johnson",60,116615
"Josh Beckett","BOS",12,10,4.026768407481416,27,27,16,1,0,0,0,0,174.1,725,173,80,78,18,34,1,9,5,0,172,"Josh Beckett",510,277417
"Ubaldo Jiménez","COL",12,12,3.986577079143727,34,34,18,1,0,0,0,0,198.2,868,182,97,88,11,103,4,10,16,0,172,"Ubaldo Jimenez",3374,434622
"Cliff Lee","CLE",22,3,2.5388060279688145,31,31,23,4,2,0,0,0,223.1,891,214,68,63,12,34,1,5,4,0,170,"Cliff Lee",1636,424324
"Jake Peavy","SDP",10,11,2.8502878243916685,27,27,19,1,0,0,0,0,173.2,709,146,57,55,17,59,1,5,6,0,166,"Jake Peavy",1051,408241
"Scott Kazmir","TBR",12,8,3.485776572478208,27,27,13,0,0,0,0,0,152.1,641,123,61,59,23,70,2,4,5,0,166,"Scott Kazmir",4897,431148
"Roy Oswalt","HOU",17,10,3.5367411278492225,32,32,22,3,2,0,0,0,208.2,862,199,89,82,23,47,2,10,1,0,165,"Roy Oswalt",571,400061
"Brett Myers","PHI",10,13,4.547368786249164,30,30,15,2,1,0,0,0,190,817,197,103,96,29,65,6,6,2,0,163,"Brett Myers",962,408206
"Bronson Arroyo","CIN",15,11,4.770000363922147,34,34,18,1,0,0,0,0,200,871,219,116,106,29,68,2,6,6,0,163,"Bronson Arroyo",978,276520
"Justin Verlander","DET",11,17,4.835820161305873,33,33,13,1,0,0,0,0,201,880,195,119,108,18,87,8,14,6,3,163,"Justin Verlander",8700,434378
"Randy Wolf","- - -",12,12,4.302977347912826,33,33,18,1,1,0,0,0,190.1,823,191,100,91,21,71,4,12,3,0,162,"Randy Wolf",976,150116
"James Shields","TBR",14,8,3.558139787408858,33,33,22,3,2,0,0,0,215,877,208,94,85,24,40,0,12,6,0,160,"James Shields",7059,448306
"John Danks","CHW",12,9,3.3230769230769233,33,33,19,0,0,0,0,0,195,804,182,74,72,15,57,1,4,7,0,159,"John Danks",6329,433579
"Ben Sheets","MIL",13,9,3.0857143648475036,31,31,18,5,3,0,0,0,198.1,812,181,74,68,17,47,2,1,8,0,158,"Ben Sheets",710,282656
"Andy Pettitte","NYY",14,14,4.544117307168003,33,33,18,0,0,0,0,0,204,881,233,112,103,19,55,4,7,6,1,158,"Andy Pettitte",840,120485
"Johnny Cueto","CIN",9,14,4.810344827586207,31,31,14,0,0,0,0,0,174,769,178,101,93,29,68,1,14,6,1,158,"Johnny Cueto",6893,456501
"Jonathan Sánchez","SFG",9,12,5.012658227848101,29,29,13,0,0,0,0,0,158,695,154,90,88,14,75,1,7,7,0,157,"Jonathan Sanchez",7507,456043
"Daisuke Matsuzaka","BOS",18,3,2.898608261969678,29,29,14,0,0,0,0,0,167.2,716,128,58,54,12,94,1,7,5,0,154,"Daisuke Matsuzaka",7775,493137
"Aaron Harang","CIN",6,17,4.784810654686557,30,29,17,1,1,0,0,0,184.1,793,205,104,98,35,50,5,2,2,0,153,"Aaron Harang",1451,421685
"Jered Weaver","LAA",11,10,4.330188928579017,30,30,14,0,0,0,0,0,176.2,745,173,88,85,20,54,4,6,3,0,152,"Jered Weaver",4235,450308
"Jon Lester","BOS",16,6,3.2091920695301734,33,33,20,2,2,0,0,0,210.1,874,202,78,75,14,66,1,10,3,1,152,"Jon Lester",4930,452657
"Mike Mussina","NYY",20,9,3.3693844449463004,34,34,21,0,0,0,0,0,200.1,819,214,85,75,17,31,3,8,4,0,150,"Mike Mussina",837,119608
"Derek Lowe","LAD",14,11,3.241706629995428,34,34,20,1,0,0,0,0,211,851,194,84,76,14,45,7,1,2,0,147,"Derek Lowe",199,117955
"Manny Parra","MIL",10,8,4.3915666687348764,32,29,10,0,0,0,0,0,166,741,181,91,81,18,75,1,2,17,2,147,"Manny Parra",4279,448159
"Gavin Floyd","CHW",17,8,3.838449206090609,33,33,19,1,0,0,0,0,206.1,878,190,107,88,30,70,6,9,9,0,145,"Gavin Floyd",3886,425856
"Scott Baker","MIN",11,4,3.4468086123677475,28,28,18,0,0,0,0,0,172.1,703,161,66,66,20,42,2,3,6,0,141,"Scott Baker",6176,435044
"Mark Buehrle","CHW",15,12,3.7865850135445003,34,34,24,1,0,0,0,0,218.2,918,240,106,92,22,52,4,5,4,0,140,"Mark Buehrle",225,279824
"Jair Jurrjens","ATL",13,10,3.679646117074237,31,31,17,0,0,0,0,0,188.1,813,188,87,77,11,70,9,4,3,0,139,"Jair Jurrjens",5556,457453
"Paul Maholm","PIT",9,9,3.7075929831557017,31,31,19,1,0,0,0,0,206.1,853,201,89,85,21,63,2,9,2,1,139,"Paul Maholm",8678,430904
"Ian Snell","PIT",7,12,5.421906861524814,31,31,13,0,0,0,0,0,164.1,766,201,107,99,18,89,0,2,8,1,135,"Ian Snell",2227,430636
"Todd Wellemeyer","STL",13,9,3.7095654142729604,32,32,17,0,0,0,0,0,191.2,807,178,84,79,25,62,1,7,7,1,134,"Todd Wellemeyer",1709,425487
"Wandy Rodriguez","HOU",9,7,3.538834689328485,25,25,10,0,0,0,0,0,137.1,587,136,65,54,14,44,3,5,2,3,131,"Wandy Rodriguez",2586,434643
"Carlos Zambrano","CHC",14,6,3.911660671930733,30,30,17,1,1,0,0,0,188.2,796,172,85,82,18,72,1,6,4,0,130,"Carlos Zambrano",305,407296
"John Lackey","LAA",12,5,3.7469385421479804,24,24,16,3,0,0,0,0,163.1,675,161,71,68,26,40,1,10,5,0,130,"John Lackey",1507,407793
"Jorge De La Rosa","COL",10,8,4.9153843269122595,28,23,10,0,0,0,0,0,130,571,128,77,71,13,62,3,7,14,1,128,"Jorge De La Rosa",2047,407822
"Matt Garza","TBR",11,9,3.7039707110605935,30,30,15,3,2,0,0,0,184.2,772,170,83,76,19,59,2,6,3,2,128,"Matt Garza",3340,490063
"Vicente Padilla","TEX",14,8,4.7368416825820585,29,29,12,1,1,0,0,0,171,757,185,100,90,26,65,4,15,12,3,127,"Vicente Padilla",964,218894
"Brandon Backe","HOU",9,14,6.0479998154296934,31,31,11,0,0,0,0,0,166.2,756,202,114,112,36,77,2,4,2,0,127,"Brandon Backe",1529,407840
"Armando Galarraga","DET",13,7,3.7276115158295684,30,28,16,0,0,0,0,1,178.2,746,152,83,74,28,61,2,6,6,0,126,"Armando Galarraga",4222,451482
"Kevin Millwood","TEX",9,10,5.069169807609896,29,29,11,3,0,0,0,0,168.2,767,220,104,95,18,49,3,6,2,1,125,"Kevin Millwood",106,119154
"Andy Sonnanstine","TBR",13,9,4.375862529450782,32,32,13,1,1,0,0,0,193.1,819,212,105,94,21,37,2,5,6,0,124,"Andy Sonnanstine",7667,458567
"Jamie Moyer","PHI",16,7,3.713072812709695,33,33,19,0,0,0,0,0,196.1,841,199,85,81,20,62,4,11,3,0,123,"Jamie Moyer",1091,119469
"Shaun Marcum","TOR",9,7,3.3898676135450447,25,25,15,0,0,0,0,0,151.1,630,126,60,57,21,50,2,8,3,0,123,"Shaun Marcum",6204,451788
"Kevin Slowey","MIN",12,11,3.9854467325859,27,27,13,3,2,0,0,0,160.1,653,161,74,71,22,24,1,4,1,0,123,"Kevin Slowey",9918,458713
"John Maine","NYM",10,8,4.178570973143335,25,25,11,0,0,0,0,0,140,608,122,70,65,16,67,2,4,10,0,122,"John Maine",4773,429720
"Tim Redding","WSN",10,11,4.945054945054945,33,33,14,1,0,0,0,0,182,791,195,110,100,27,65,5,7,10,0,120,"Tim Redding",573,400062
"Barry Zito","SFG",10,17,5.149999563429128,32,32,15,0,0,0,0,0,180,818,186,115,103,16,102,10,4,3,0,120,"Barry Zito",944,217096
"Jeremy Guthrie","BAL",10,12,3.634615287657643,30,30,19,1,0,0,0,0,190.2,796,176,82,77,24,58,2,7,3,0,120,"Jeremy Guthrie",2072,425386
"Odalis Perez","WSN",7,12,4.340292552098574,30,30,14,0,0,0,0,0,159.2,711,182,87,77,22,55,4,8,5,2,119,"Odalis Perez",668,136602
"Kyle Lohse","STL",15,6,3.780000288391135,33,33,20,0,0,0,0,0,200,839,211,88,84,18,49,3,3,5,0,119,"Kyle Lohse",739,346798
"Joba Chamberlain","NYY",4,3,2.6013289366222008,42,12,7,0,0,0,19,1,100.1,417,87,32,29,5,39,3,2,4,2,118,"Joba Chamberlain",2692,501955
"Dana Eveland","OAK",9,9,4.339286108406259,29,29,13,1,0,0,0,0,168,737,172,82,81,10,77,2,12,6,1,118,"Dana Eveland",5508,445968
"Tim Wakefield","BOS",10,11,4.127072171127756,30,30,18,1,0,0,0,0,181,754,154,89,83,25,60,0,13,12,0,117,"Tim Wakefield",219,123801
"John Lannan","WSN",9,15,3.9065934065934065,31,31,21,0,0,0,0,0,182,779,172,89,79,23,72,1,7,6,2,117,"John Lannan",7080,458709
"Hiroki Kuroda","LAD",9,10,3.730909194416648,31,31,18,2,2,0,0,0,183.1,776,181,85,76,13,42,8,7,5,0,116,"Hiroki Kuroda",3283,493133
"Carlos Marmol","CHC",2,4,2.6793899371640593,82,0,0,0,0,7,30,2,87.1,348,40,30,26,10,41,3,6,6,1,114,"Carlos Marmol",2790,461791
"Scott Olsen","FLA",8,11,4.195041533921501,33,33,17,0,0,0,0,0,201.2,855,195,106,94,30,69,13,3,5,0,113,"Scott Olsen",4529,435179
"Brian Bannister","KCR",9,16,5.764598379633593,32,32,11,1,0,0,0,0,182.2,811,215,127,117,29,58,1,7,7,1,113,"Brian Bannister",5718,446454
"Doug Davis","ARI",6,8,4.315068042173198,26,26,14,0,0,0,0,0,146,650,160,76,70,13,64,4,4,7,0,112,"Doug Davis",1244,150277
"Greg Smith","OAK",7,16,4.161120618235861,32,32,13,2,0,0,0,0,190.1,800,169,92,88,21,87,5,3,5,1,111,"Greg Smith",3455,460105
"Joe Blanton","- - -",9,12,4.689712839397377,33,33,14,0,0,0,0,0,197.2,855,211,110,103,22,66,3,4,2,0,111,"Joe Blanton",4849,430599
"Mike Pelfrey","NYM",13,11,3.7225909847027867,32,32,19,2,0,0,0,0,200.2,851,209,86,83,12,64,1,13,2,0,110,"Mike Pelfrey",5203,460059
"Dave Bush","MIL",9,10,4.183784128862051,31,29,16,0,0,0,0,0,185,763,163,92,86,29,48,3,10,2,1,109,"Dave Bush",4635,433657
"Braden Looper","STL",12,14,4.160804339139878,33,33,15,1,1,0,0,0,199,842,216,101,92,25,45,1,11,3,1,108,"Braden Looper",526,131702
"Nate Robertson","DET",7,11,6.349802969925297,32,28,9,0,0,0,0,0,168.2,761,218,124,119,26,62,7,2,5,0,108,"Nate Robertson",1620,425146
"Edwin Jackson","TBR",14,11,4.418182308480814,32,31,15,0,0,0,0,1,183.1,792,199,91,90,23,77,1,2,7,1,108,"Edwin Jackson",1841,429719
"Jorge Campillo","ATL",8,7,3.9138657500974463,39,25,10,1,0,0,4,0,158.2,655,158,74,69,18,38,2,1,2,0,107,"Jorge Campillo",8686,435658
"Joe Saunders","LAA",17,7,3.4090911718111268,31,31,22,1,0,0,0,0,198,807,187,82,75,21,53,2,6,3,0,103,"Joe Saunders",4366,434578
"Sean Gallagher","- - -",5,7,5.150288563079961,23,21,6,0,0,0,0,0,115.1,522,118,73,66,13,58,2,6,2,0,103,"Sean Gallagher",8261,451595
"Clayton Kershaw","LAD",5,5,4.2631576933417215,22,21,8,0,0,0,1,0,107.2,470,109,51,51,11,52,3,1,7,0,100,"Clayton Kershaw",2036,477132
"Jesse Litsch","TOR",13,9,3.5795454545454546,29,28,15,2,2,0,0,0,176,735,178,79,70,20,39,2,8,4,0,99,"Jesse Litsch",3688,446209
"Greg Maddux","- - -",8,13,4.221649484536083,33,33,17,0,0,0,0,0,194,804,204,105,91,21,30,5,6,2,2,98,"Greg Maddux",104,118120
"Boof Bonser","MIN",3,7,5.932395194912091,47,12,6,0,0,0,2,2,118.1,532,139,87,78,16,36,1,1,6,1,97,"Boof Bonser",2159,425818
"Aaron Cook","COL",16,9,3.96056791866478,32,32,18,2,1,0,0,0,211.1,886,236,102,93,13,48,2,4,6,0,96,"Aaron Cook",1571,346871
"Nick Blackburn","MIN",11,11,4.04999978690313,33,33,19,0,0,0,0,0,193.1,823,224,102,87,23,39,4,7,2,0,96,"Nick Blackburn",4270,448147
"Jason Bergmann","WSN",2,11,5.090692633923542,30,22,10,1,0,0,0,0,139.2,614,153,94,79,25,47,2,1,2,0,96,"Jason Bergmann",4640,456589
"Hung-Chih Kuo","LAD",5,3,2.1374996432662607,42,3,0,0,0,1,12,2,80,323,60,21,19,4,21,2,3,1,1,96,"Hung-Chih Kuo",7016,425539
"Justin Duchscherer","OAK",10,8,2.541176105644516,22,22,15,1,1,0,0,0,141.2,557,107,45,40,11,34,2,8,1,0,95,"Justin Duchscherer",910,407113
"Daniel Cabrera","BAL",8,10,5.250000445048052,30,30,13,2,0,0,0,0,180,821,199,109,105,24,90,5,18,15,2,95,"Daniel Cabrera",1931,425555
"Jeff Francis","COL",4,10,5.01160128292792,24,24,12,0,0,0,0,0,143.2,636,164,84,80,21,49,4,3,0,0,94,"Jeff Francis",4684,433585
"Joel Hanrahan","WSN",6,3,3.9486171961572816,69,0,0,0,0,9,3,4,84.1,364,73,40,37,9,42,7,1,6,0,93,"Joel Hanrahan",2186,430629
"Chris Young","SDP",7,6,3.9576549198339466,18,18,9,1,0,0,0,0,102.1,434,84,46,45,13,48,4,1,3,1,93,"Chris Young",3196,432934
"Carlos Villanueva","MIL",4,7,4.070769135207681,47,9,3,0,0,1,11,0,108.1,464,112,53,49,18,30,1,3,4,0,93,"Carlos Villanueva",4138,453646
"Octavio Dotel","CHW",4,4,3.761195314730282,72,0,0,0,0,1,21,4,67,288,52,34,28,12,29,3,5,4,0,92,"Octavio Dotel",555,136734
"Brad Lidge","PHI",2,0,1.9471155274549283,72,0,0,0,0,41,0,0,69.1,292,50,17,15,2,35,4,1,5,0,92,"Brad Lidge",563,400058
"Cha Seung Baek","- - -",6,10,4.78723475489491,32,21,8,0,0,0,0,0,141,602,146,78,75,18,43,3,3,4,0,92,"Cha Seung Baek",8214,430657
"J.P. Howell","TBR",6,1,2.216418225931513,64,0,0,0,0,3,14,2,89.1,370,62,29,22,6,39,1,4,5,0,92,"J.P. Howell",8245,434442
"Jason Marquis","CHC",11,9,4.526946806588035,29,28,12,0,0,0,1,0,167,738,172,87,84,15,70,6,8,8,1,91,"Jason Marquis",105,150302
"Adam Wainwright","STL",11,3,3.2045454545454546,20,20,12,1,0,0,0,0,132,544,122,51,47,12,34,1,3,3,0,91,"Adam Wainwright",2233,425794
"Jon Garland","LAA",14,8,4.896610422767273,32,32,18,1,0,0,0,0,196.2,864,237,116,107,23,59,4,8,4,0,90,"Jon Garland",232,279782
"Jeff Suppan","MIL",10,10,4.96435257833019,31,31,14,0,0,0,0,0,177.2,780,207,110,98,30,67,7,4,3,1,90,"Jeff Suppan",633,122987
"Andrew Miller","FLA",6,10,5.86956502616712,29,20,6,0,0,0,2,0,107.1,492,120,78,70,7,56,4,4,4,0,89,"Andrew Miller",6785,453192
"Jonathan Broxton","LAD",3,5,3.130435821014345,70,0,0,0,0,14,13,8,69,285,54,29,24,2,27,5,3,3,0,88,"Jonathan Broxton",4759,455009
"Jarrod Washburn","SEA",5,14,4.6854662223545755,28,26,14,1,0,1,0,0,153.2,675,174,87,80,19,50,2,7,2,0,87,"Jarrod Washburn",40,132220
"Pedro Martínez","NYM",5,6,5.6146792920789315,20,20,6,0,0,0,0,0,109,493,127,70,68,19,44,3,6,2,1,87,"Pedro Martinez",200,118377
"Seth McClung","MIL",6,6,4.015822542418555,37,12,5,0,0,0,1,0,105.1,456,93,47,47,10,55,3,7,5,0,87,"Seth McClung",1657,425528
"Zach Duke","PIT",5,14,4.816216216216216,31,31,14,1,1,0,0,0,185,829,230,111,99,19,47,1,7,2,2,87,"Zach Duke",3840,435043
"Micah Owings","ARI",6,9,5.93312164980669,22,18,9,0,0,0,1,0,104.2,466,104,73,69,14,41,0,12,4,0,87,"Micah Owings",4253,452249
