Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"CC Sabathia","- - -",17,10,0,35,35,253,8.92885402419664,2.098814292540246,0.675889348445164,0.29694323144104806,0.77743902,0.466374269,0.087557603,94.87655461743273,2.703557393780656,,2.9067218305475757,3.0617142299008657,7.349384069442749,"CC Sabathia",404,282332
"Tim Lincecum","SFG",18,5,0,34,33,227,10.506608635762666,3.330396699637977,0.43612337733354456,0.304270462633452,0.77942323,0.4390681,0.056122448,94.49760135252085,2.6167402640012676,,2.6165997431805623,3.1254765890834952,7.1343334200792015,"Tim Lincecum",5705,453311
"Cliff Lee","CLE",22,3,0,31,31,223.1,6.850746424677753,1.3701492849355505,0.48358210056548845,0.30149253731343284,0.78323455,0.458893871,0.051063829,91.07533134095634,2.5388060279688145,,2.8320182731970034,3.5213656888344342,6.746829509735107,"Cliff Lee",1636,424324
"Roy Halladay","TOR",20,11,0,34,33,246,7.536584847247189,1.4268291701099047,0.6585365400507253,0.28370786516853935,0.74450773,0.537062937,0.09375,87.27493896484376,2.780487613547507,,3.03039227076221,3.108600473464664,6.661683216691017,"Roy Halladay",1303,136880
"Dan Haren","ARI",16,8,0,33,33,216,8.583333333333334,1.6666666666666667,0.7916666666666666,0.30327868852459017,0.73410922,0.442276422,0.089201877,91.52763911862004,3.3333333333333335,,3.007018280029297,3.164135218860099,6.083142280578613,"Dan Haren",1757,429717
"Brandon Webb","ARI",22,7,0,34,34,226.2,7.266176796685468,2.5808824687680625,0.5161764937536124,0.28763040238450077,0.70996979,0.643712574,0.095588235,87.59697808159723,3.295588383196141,,3.282018286761116,3.3278026134864005,5.462778568267822,"Brandon Webb",1692,425630
"Ervin Santana","LAA",16,7,0,32,32,219,8.794520547945206,1.9315068493150684,0.9452054794520548,0.2892561983471074,0.74275362,0.387722132,0.089494163,95.29778022670025,3.493150684931507,,3.2964018416731324,3.4789189490621495,5.345852851867676,"Ervin Santana",3200,429722
"Johan Santana","NYM",16,7,0,34,34,234.1,7.911806199930066,2.419630051434923,0.8833570029048131,0.27395209580838326,0.82641196,0.412462908,0.093877551,91.97537055335968,2.534850530074681,,3.5075516918922127,3.6105835308857013,5.208318710327148,"Johan Santana",755,276371
"A.J. Burnett","TOR",18,10,0,35,34,221.1,9.39307185744909,3.4969877910849427,0.7725903259373711,0.3137254901960784,0.70508232,0.48538961,0.097435897,95.12041168304646,4.0662648733545845,,3.448283325734654,3.494349959107694,5.041775405406952,"A.J. Burnett",512,150359
"John Danks","CHW",12,9,0,33,33,195,7.338461538461538,2.6307692307692307,0.6923076923076923,0.29349736379613356,0.76126126,0.428076256,0.073529411,91.72974889905149,3.3230769230769233,,3.4397105877216045,3.8195396666343395,4.914738178253174,"John Danks",6329,433579
"Ryan Dempster","CHC",17,6,0,33,33,206.2,8.14354878793772,3.3096775822634585,0.6096774493643212,0.27972027972027974,0.76663858,0.480902777,0.076502732,91.82369070643323,2.961290468340989,,3.4078247452179187,3.695092327692712,4.802844047546387,"Ryan Dempster",517,133225
"Ben Sheets","MIL",13,9,0,31,31,198.1,7.169748083028023,2.1327731639387157,0.7714285912118759,0.27843803056027167,0.75536062,0.40609137,0.069958847,93.59089104193139,3.0857143648475036,,3.3790771098945385,3.880787476302187,4.773299217224121,"Ben Sheets",710,282656
"Javier Vazquez","CHW",12,16,0,33,33,208.1,8.639999578125021,2.6351998713281315,1.0799999472656276,0.31605351170568563,0.68292683,0.382352941,0.098039215,92.62187879862236,4.6655997721875115,,3.7368182504980485,3.7912182701696975,4.761573314666748,"Javier Vazquez",801,134320
"Aaron Cook","COL",16,9,0,32,32,211.1,4.0883281741055795,2.0441640870527897,0.5536277735767972,0.30758620689655175,0.68939956,0.559109874,0.076470588,92.19091399898375,3.96056791866478,,3.7613558346080493,4.022659746212371,4.749261379241943,"Aaron Cook",1571,346871
"Cole Hamels","PHI",14,10,0,33,33,227.1,7.7595309653974285,2.0982405161533864,1.108504423628204,0.25943396226415094,0.76034649,0.395061728,0.111553784,90.94369984781406,3.0879766086785683,,3.7214611084665172,3.5765528394702115,4.647189617156982,"Cole Hamels",4972,430935
"Rich Harden","- - -",10,2,0,25,25,148,11.006756189358882,3.709459268236971,0.6689188844361752,0.25073746312684364,0.84370678,0.299711815,0.064705882,92.2858662299791,2.067567460984541,,2.9495858570012494,3.4983846484628502,4.492067813873291,"Rich Harden",1772,425848
"Josh Beckett","BOS",12,10,0,27,27,174.1,8.879540590856456,1.7552580237739506,0.9292542478803267,0.3150406504065041,0.71278826,0.407554671,0.105263157,94.86874842330978,4.026768407481416,,3.2410048893485945,3.1924839338046627,4.2989702224731445,"Josh Beckett",510,277417
"Derek Lowe","LAD",14,11,0,34,34,211,6.270143086964842,1.9194315572341352,0.597156484472842,0.2795031055900621,0.70780399,0.603100775,0.094594594,88.75588156960227,3.241706629995428,,3.25524104666655,3.3178250910640013,4.2913641929626465,"Derek Lowe",199,117955
"Jon Lester","BOS",16,6,0,33,33,210.1,6.503962594247818,2.8240890211865524,0.599049186312299,0.2974683544303797,0.77399381,0.474683544,0.07,92.84227380087209,3.2091920695301734,,3.6359802939110724,4.024843342562378,4.270571231842041,"Jon Lester",4930,452657
"Mark Buehrle","CHW",15,12,0,34,34,218.2,5.7621945858285875,2.140243703307761,0.9054877206302065,0.31187410586552217,0.71750563,0.495762711,0.098654708,87.26719851460221,3.7865850135445003,,3.941469424229027,3.9786346713208043,4.234164714813232,"Mark Buehrle",225,279824
"Ricky Nolasco","FLA",15,8,0,34,32,212.1,7.883829581826015,1.7802195829929712,1.1868130553286476,0.2706270627062706,0.75697211,0.387096774,0.106870229,92.26415579964683,3.5180529854384908,,3.7725205638574555,3.6857043310167756,4.227290958166122,"Ricky Nolasco",3830,445060
"Ubaldo Jiménez","COL",12,12,0,34,34,198.2,7.791946109235466,4.666107263088681,0.4983221348929659,0.29895104895104896,0.70815451,0.544014084,0.069182389,96.02152571097884,3.986577079143727,,3.8266491347285827,4.162456483802222,4.18082332611084,"Ubaldo Jimenez",3374,434622
"Gil Meche","KCR",14,11,0,34,34,210.1,7.830428081589304,3.1236133877378096,0.8129952653016217,0.3027823240589198,0.71485623,0.39158576,0.079166666,93.17195936825054,3.97939787752899,,3.6074541076910642,3.9381150855089313,4.1805739402771,"Gil Meche",1089,219194
"Zack Greinke","KCR",13,10,0,32,32,202.1,8.140033153553622,2.4909391070983764,0.9341021651618912,0.3083475298126065,0.75236457,0.426666666,0.091304347,94.08789826718838,3.469522327744167,,3.56200181637366,3.712048680045635,4.18037223815918,"Zack Greinke",1943,425844
"James Shields","TBR",14,8,0,33,33,215,6.697674893946085,1.6744187234865213,1.004651234091913,0.2870514820592824,0.73321555,0.463302752,0.097959183,91.50994172643442,3.558139787408858,,3.8203904219070894,3.872222031720062,4.132792949676514,"James Shields",7059,448306
"Chad Billingsley","LAD",16,10,0,35,32,200.2,9.014950408894608,3.588039963739147,0.6279069936543508,0.3129496402877698,0.7800312,0.490125673,0.080924855,92.29702480932,3.1395349682717537,,3.351287388924467,3.5814157412506726,3.900903455913067,"Chad Billingsley",5842,451532
"Andy Sonnanstine","TBR",13,9,0,32,32,193.1,5.772414400552095,1.7224139743582862,0.9775863097709192,0.3022151898734177,0.6634016,0.421461897,0.079847908,78.94650268554688,4.375862529450782,,3.9130528449785507,4.295216534080178,3.877800464630127,"Andy Sonnanstine",7667,458567
"Edinson Volquez","CIN",17,6,0,33,32,196,9.459184496173679,4.2704085346803495,0.6428571987690849,0.299412915851272,0.75471698,0.462745098,0.08045977,94.42941140051495,3.2142859938454245,,3.5963040346958586,3.8386410067410193,3.6662048548460007,"Edinson Volquez",3990,450172
"Matt Cain","SFG",8,14,0,34,34,217.2,7.690658319525064,3.762633909014951,0.7856048821020227,0.2968253968253968,0.75342466,0.332278481,0.068592057,92.87426462022367,3.762633909014951,,3.908434800937144,4.4521575991829305,3.6545541286468506,"Matt Cain",4732,430912
"Roy Oswalt","HOU",17,10,0,32,32,208.2,7.116613245062459,2.0271565001087004,0.9920127553723428,0.2852512155591572,0.74620197,0.503225806,0.127071823,93.61361111111111,3.5367411278492225,,3.802944781247307,3.5141143837636273,3.6531078815460205,"Roy Oswalt",571,400061
"Mike Mussina","NYY",20,9,0,34,34,200.1,6.738768889892601,1.3926789039111376,0.7637271408544948,0.32137030995106036,0.73298429,0.484702093,0.092391304,86.55008138020834,3.3693844449463004,,3.3217021450781257,3.429959643945618,3.6149446964263916,"Mike Mussina",837,119608
"Jake Peavy","SDP",10,11,0,27,27,173.2,8.602686888163944,3.0575814843474265,0.8809980548119702,0.2792207792207792,0.8216971,0.405579399,0.097142857,92.65353788860104,2.8502878243916685,,3.598429014929752,3.654956825115028,3.6048126220703125,"Jake Peavy",1051,408241
"Randy Johnson","ARI",11,10,0,30,30,184,8.46195652173913,2.152173913043478,1.173913043478261,0.3013182674199623,0.70858283,0.401500938,0.108108108,91.49912955639614,3.9130434782608696,,3.762453062637993,3.658147884306053,3.5676686763763428,"Randy Johnson",60,116615
"Félix Hernández","SEA",9,11,0,31,31,200.2,7.848837010359222,3.5880397761642158,0.7624584524348959,0.31369150779896016,0.76659039,0.521367521,0.098837209,95.97317216981132,3.4534882845580577,,3.8047757380600875,3.8339790621863292,3.5585877895355225,"Felix Hernandez",4772,433587
"Matt Garza","TBR",11,9,0,30,30,184.2,6.238266460733631,2.875450946744408,0.9259926777651484,0.26964285714285713,0.7293666,0.41652021,0.08370044,94.17164713541666,3.7039707110605935,,4.139238385668581,4.423007046751652,3.3482553958892822,"Matt Garza",3340,490063
"Andy Pettitte","NYY",14,14,0,33,33,204,6.970587713908198,2.4264704067401954,0.8382352314193403,0.3333333333333333,0.68181818,0.514774494,0.103260869,89.4272326548165,4.544117307168003,,3.7055476488951613,3.6844083615343184,3.3153486251831055,"Andy Pettitte",840,120485
"Jair Jurrjens","ATL",13,10,0,31,31,188.1,6.642478055497649,3.3451328337038517,0.5256637310106053,0.300509337860781,0.70965126,0.517123287,0.070967741,92.3704404239766,3.679646117074237,,3.593965195159829,3.920184202151539,3.3140270709991455,"Jair Jurrjens",5556,457453
"Paul Maholm","PIT",9,9,0,31,31,206.1,6.06300499598403,2.747980681633049,0.9159935605443498,0.2898550724637681,0.75533662,0.536,0.120689655,90.72816632556675,3.7075929831557017,,4.154635429631719,3.943802027292768,3.2879536151885986,"Paul Maholm",8678,430904
"Hiroki Kuroda","LAD",9,10,0,31,31,183.1,5.694545612530673,2.0618182390197264,0.6381818358870582,0.2809364548494983,0.68460812,0.512605042,0.076470588,92.49943349494097,3.730909194416648,,3.5902001109225696,3.891412257406371,3.270697832107544,"Hiroki Kuroda",3283,493133
"Scott Baker","MIN",11,4,0,28,28,172.1,7.363636580967461,2.1934236624158396,1.0444874582932568,0.2837022132796781,0.78651685,0.329434697,0.085106382,91.84985212371721,3.4468086123677475,,3.7877242955133967,4.07759424209277,3.237673044204712,"Scott Baker",6176,435044
"Justin Verlander","DET",11,17,0,33,33,201,7.298506354563493,3.8955217966075084,0.8059700268843122,0.2959866220735786,0.65361891,0.399339933,0.0703125,94.49122679814386,4.835820161305873,,4.181769364428,4.697452332160297,3.221792459487915,"Justin Verlander",8700,434378
"Jered Weaver","LAA",11,10,0,30,30,176.2,7.743396672282477,2.7509435546266694,1.0188679831950629,0.2982456140350877,0.70731707,0.326335877,0.082987551,90.45739489489489,4.330188928579017,,3.901829645110011,4.229384257852624,3.196449041366577,"Jered Weaver",4235,450308
"Kevin Millwood","TEX",9,10,0,29,29,168.2,6.669960273170915,2.614624427082999,0.9604742793366118,0.35500878734622143,0.68454764,0.407342657,0.092307692,,5.069169807609896,,4.015417462875934,4.1529436365262455,3.12846040725708,"Kevin Millwood",106,119154
"Mike Pelfrey","NYM",13,11,0,32,32,200.2,4.933554317075982,2.8704316026623897,0.5382059254991981,0.30214723926380366,0.74294205,0.496147919,0.0625,93.90282600308642,3.7225909847027867,,3.964244109273428,4.448824886664802,3.0182900428771973,"Mike Pelfrey",5203,460059
"Mariano Rivera","NYY",6,5,39,64,0,70.2,9.80660518525396,0.7641510533964126,0.5094340355976084,0.21764705882352942,0.87557604,0.546511627,0.075471698,96.41429901123047,1.400943597893423,,2.028244536234479,2.281611216058873,2.951388120651245,"Mariano Rivera",844,121250
"Ted Lilly","CHC",17,9,0,34,34,204.2,8.091205010648224,2.8143321776167736,1.4071660888083868,0.2700348432055749,0.75984991,0.335570469,0.120754716,87.82450561942348,4.089576445599374,,4.407262548011897,4.082455784020575,2.9155149459838867,"Ted Lilly",833,150404
"Wandy Rodriguez","HOU",9,7,0,25,25,137.1,8.584950820407991,2.883494932045432,0.9174756601962739,0.3104325699745547,0.72551391,0.404466501,0.09589041,89.52820705689278,3.538834689328485,,3.6198823215622364,3.6968288420136393,2.9025650024414062,"Wandy Rodriguez",2586,434643
"Carlos Zambrano","CHC",14,6,0,30,30,188.2,6.201413260377992,3.4346288826708875,0.8586572206677219,0.27017543859649124,0.73398577,0.472222222,0.089552238,92.37320993738405,3.911660671930733,,4.23449174854094,4.399384717177712,2.8992183208465576,"Carlos Zambrano",305,407296
"Joba Chamberlain","NYY",4,3,0,42,12,100.1,10.58471774211792,3.498338914767787,0.4485049890727932,0.3241106719367589,0.79338843,0.519685039,0.058139534,96.0634273558624,2.6013289366222008,,2.653612958351651,3.1363046614284786,2.8790626525878906,"Joba Chamberlain",2692,501955
"Kyle Lohse","STL",15,6,0,33,33,200,5.355000408554108,2.205000168228162,0.8100000617981005,0.2969230769230769,0.73591253,0.458015267,0.085714285,91.48956694019785,3.780000288391135,,3.8920183380127,4.1069203343465706,2.845194101333618,"Kyle Lohse",739,346798
"Zach Duke","PIT",5,14,0,31,31,185,4.232432432432432,2.2864864864864867,0.9243243243243243,0.3153961136023916,0.67210567,0.481762917,0.093137254,89.57525258458647,4.816216216216216,,4.402288550299567,4.521567849694072,2.8249354362487793,"Zach Duke",3840,435043
